fold,test_season,column,robust_scaled,scale_original,scale_amendment4,sd_clearing_burn_in,sd_test,test_span_original_units,test_span_amendment4_units,scale_shrunk_by
1,2022-2023,rel_elo_diff,False,74.425246016761562,74.425246016761562,,101.53068739265842,7.6892710533027175,7.6892710533027175,1
1,2022-2023,rel_attack_diff,True,1.3773262882270274,0.58999539904411724,,0.58489311162445023,2.8595761775219106,6.6755934857623789,2.3344695407091423
1,2022-2023,rel_defence_diff,True,5.1085292698895941,0.61892504156658124,,0.37470869443955551,0.45313385733559686,3.7401097352882773,8.2538739375599182
1,2022-2023,expected_total_goals,True,29.872112213322492,0.87554767646540699,,0.64189683597944802,0.14002073234237009,4.7772555865929851,34.118201688246664
2,2023-2024,rel_elo_diff,False,89.015769523924732,89.015769523924732,101.53068739265842,109.95940625872134,6.3516968708102439,6.3516968708102439,1
2,2023-2024,rel_attack_diff,True,1.0583518542047008,0.58395576744207156,0.58489311162445023,0.49942147055607428,2.4887874404640886,4.5106375331721233,1.8123835968615369
2,2023-2024,rel_defence_diff,True,3.6275061859819289,0.48995850101737443,0.37470869443955551,0.45045900419419055,0.77045914719505548,5.7042490674068684,7.4037008817064978
2,2023-2024,expected_total_goals,True,21.147001823881151,0.6902751146495949,0.64189683597944802,0.59403296820713247,0.1628640510771579,4.9894401696947401,30.635613793807455
3,2024-2025,rel_elo_diff,False,96.503506213086197,96.503506213086197,105.82925195358028,110.83274866057616,6.7910458554054181,6.7910458554054181,1
3,2024-2025,rel_attack_diff,True,0.91104893365456563,0.55460971802770864,0.54383920889403936,0.46478683836671086,2.6213673182763833,4.3060801540324105,1.6426847637910469
3,2024-2025,rel_defence_diff,True,2.9748438076584494,0.46991661066535417,0.41433362974393861,0.42956390039219716,0.81255586462968554,5.1439483674510464,6.3305781071377174
3,2024-2025,expected_total_goals,True,17.27248403576974,0.69451907026637372,0.63248143065304674,0.54366342000416434,0.19836548137111315,4.9332909014524722,24.869704483629377
4,2025-2026,rel_elo_diff,False,100.27827977255359,100.27827977255359,107.52328913899181,96.596997912654558,5.8662195139521636,5.8662195139521636,1
4,2025-2026,rel_attack_diff,True,0.8225114992125353,0.54529643418531537,0.51884249195544341,0.36893576911054571,2.8516048221870802,4.3012893729315964,1.5083749822083199
4,2025-2026,rel_defence_diff,True,2.5859207999989073,0.45530552595695178,0.41947565098772155,0.35864812955992936,0.77096978175504016,4.3787449990217642,5.6795286957343034
4,2025-2026,expected_total_goals,True,14.962386943816286,0.64129978354686157,0.60517004715298817,0.48327068470631207,0.25019563603744277,5.8374008756746996,23.331345694619188
