fold,train_seasons,test_season,train_matches,test_matches,k_factor,home_advantage,season_regression,initial_rating,nu_calibrated,train_log_loss,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,base_rate_log_loss,base_rate_brier,log_loss_delta,brier_delta,beats_base_rate
1,2021-2022,2022-2023,380,380,20,60,0.75,1500,0.62482948315480424,1.0159283751675694,0.55000000000000004,0.44219518681026465,0.3881249788429641,0.98505532536005436,0.5857152757679247,1.0546504846060354,0.63667590027700816,-0.069595159245981031,-0.050960624509083452,True
2,2021-2022 + 2022-2023,2023-2024,760,380,20,60,0.75,1500,0.6256516223114077,1.0004916971784332,0.56315789473684208,0.4567402245451026,0.40351890351890346,0.96785290725249618,0.57300079761761635,1.0537563827171665,0.63691481994459831,-0.085903475464670365,-0.063914022326981956,True
3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,20,60,0.75,1500,0.61185253126911987,0.98956852997953038,0.53157894736842104,0.45876507005539269,0.39396532166585646,1.0097826854849266,0.6037442172159061,1.0826402716069496,0.65687596183441055,-0.072857586122023088,-0.053131744618504451,True
4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,20,60,0.75,1500,0.63062390800551937,0.99454165184266086,0.49736842105263157,0.42960797054364308,0.36079935847843519,1.0350342852011936,0.6207335913508687,1.08450287668523,0.65619373268698056,-0.049468591484036484,-0.035460141336111861,True
