rung,description,features_total,design_columns,lambda_selected_min,lambda_selected_max,lambda_selected_median,lambda_fold1,log_loss_fold1,lambda_fold2,log_loss_fold2,lambda_fold3,log_loss_fold3,lambda_fold4,log_loss_fold4,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,log_loss_mean,brier_score_mean,rps_mean,train_log_loss_mean,generalisation_gap_mean,coef_l2_norm_mean,frozen_log_loss_mean,frozen_generalisation_gap_mean,log_loss_mean_vs_frozen,log_loss_delta_mean
B0,base rate,0,0,10000,10000,10000,10000,1.0546504846060354,10000,1.0537563827171668,10000,1.0826402716069496,10000,1.0845028766852298,0.44473684210526315,0.33333333333333331,0.20502817752753366,1.0688875039038455,0.64666510368574937,0.23185118257540782,1.0623750719413918,0.0065124319624535465,0,1.0688875039038455,0.006512431962453491,0,
B1,+ Phase 1 results-only features,86,88,300,1000,300,1000,0.99702331407554512,300,0.96041741636366496,300,1.0039641852174856,300,1.0448348462687427,0.51973684210526316,0.43677608192973899,0.37976315654718668,1.0015599404813595,0.59822201462852043,0.20675908503711385,0.96422428463195131,0.037335655849408234,0.24250523550835767,1.0668520210173245,0.15004758371222834,-0.065292080535964914,-0.067327563422485914
B2,+ Block C context,98,108,1000,3000,1000,3000,1.013298528374986,1000,0.96352722794834478,1000,1.0026951846650169,1000,1.0461090547083203,0.52302631578947378,0.43369255780421939,0.37391433750264197,1.0064074989241669,0.60109222730190404,0.20851333418804657,0.97451446152390897,0.031893037400258006,0.16273944770529936,1.1015605293791229,0.20287387582509131,-0.095153030454955934,0.0048475584428073759
B3,"+ prior_attack, prior_defence",104,114,1000,3000,1000,3000,1.013298528374986,1000,0.96251074405391324,1000,1.0012938203786799,1000,1.0452506146083391,0.52236842105263159,0.43301505102915167,0.37320511764448594,1.0055884268539796,0.60047434940785127,0.2081822338399173,0.97400292352568463,0.031585503328294878,0.16233421850366425,1.1134573486161621,0.21986681302651703,-0.10786892176218243,-0.00081907207018727668
B4,+ prior_venue_split,107,117,1000,3000,1000,3000,1.013298528374986,1000,0.9628508344190535,1000,1.0020993960735469,1000,1.0445259099662569,0.52105263157894743,0.43170623112277079,0.3720668245682387,1.0056936672084609,0.60056475714583579,0.20822436985440801,0.97368937975846648,0.032004287449994312,0.16303445446359369,1.12090107972145,0.22846057521012478,-0.11520741251298916,0.00010524035448122859
B5,"+ prior_finishing, keeping, control",116,126,1000,3000,1000,3000,1.013298528374986,1000,0.96321753350006534,1000,1.0020073533703342,1000,1.0458264119372711,0.52302631578947367,0.43373806435343443,0.37414666406353003,1.0060874567956641,0.60074722650694057,0.20824635995808233,0.9729715103160882,0.033115946479575942,0.16460796714488268,1.159716723039282,0.27383126713820749,-0.15362926624361783,0.00039378958720326374
B6,"+ prior_discipline, rotation",122,132,1000,3000,1000,3000,1.013298528374986,1000,0.96315082162714527,1000,1.0042672293116419,1000,1.0452428921335761,0.52236842105263159,0.43304530728970964,0.37336090981305625,1.0064898678618373,0.60090606226738918,0.20825495376008848,0.97182976573674662,0.034660102125090714,0.16735558390877966,1.1806175597481583,0.29966441000941835,-0.17412769188632105,0.00040241106617311395
