rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B3,2,100,lam=100,False,C_context,20,0.24839469572728112,0.055542742489657709
B3,2,100,lam=100,False,X_prior_composite,6,0.094519758868205281,0.038587529973001362
B3,2,300,lam=300,False,phase1_backbone,88,0.25343229556679586,0.027015973481243835
B3,2,300,lam=300,False,C_context,20,0.14735976930713149,0.032950646131943311
B3,2,300,lam=300,False,X_prior_composite,6,0.045401580721311535,0.018535117713832518
B3,2,1000,lam=1000,True,phase1_backbone,88,0.15599777722034594,0.016629418926630338
B3,2,1000,lam=1000,True,C_context,20,0.065588855492638071,0.014666113944794917
B3,2,1000,lam=1000,True,X_prior_composite,6,0.026053965714971233,0.010636486962941106
B3,2,3000,lam=3000,False,phase1_backbone,88,0.098905388545579537,0.010543349844673772
B3,2,3000,lam=3000,False,C_context,20,0.026284256235115374,0.0058773383679740672
B3,2,3000,lam=3000,False,X_prior_composite,6,0.018024297441907006,0.0073583886174707147
B3,2,10000,lam=10000,False,phase1_backbone,88,0.04975790935741313,0.0053042109596790048
B3,2,10000,lam=10000,False,C_context,20,0.0085842247223135368,0.0019194910013227322
B3,2,10000,lam=10000,False,X_prior_composite,6,0.010124475088855904,0.0041332996468693905
B3,3,100,lam=100,False,phase1_backbone,88,0.41021589111408618,0.043729160922989133
B3,3,100,lam=100,False,C_context,20,0.22819343911194909,0.051025604187377741
B3,3,100,lam=100,False,X_prior_composite,6,0.10552839136057122,0.043081785368354698
B3,3,300,lam=300,False,phase1_backbone,88,0.27142260816804709,0.028933747248267899
B3,3,300,lam=300,False,C_context,20,0.14241298128523505,0.031844510703219094
B3,3,300,lam=300,False,X_prior_composite,6,0.058029448268682823,0.023690423052250942
B3,3,1000,lam=1000,True,phase1_backbone,88,0.17493088835348852,0.018647695354843532
B3,3,1000,lam=1000,True,C_context,20,0.067140459917494455,0.015013063241611752
B3,3,1000,lam=1000,True,X_prior_composite,6,0.036029122069608684,0.014708827491831585
B3,3,3000,lam=3000,False,phase1_backbone,88,0.11824340038693483,0.012604788833408884
B3,3,3000,lam=3000,False,C_context,20,0.028400354831349058,0.0063505123988011067
