rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap
B0,1,2022-2023,100,lam=100,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,1,2022-2023,300,lam=300,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,1,2022-2023,1000,lam=1000,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,1,2022-2023,3000,lam=3000,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,1,2022-2023,10000,lam=10000,True,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,2,2023-2024,100,lam=100,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894
B0,2,2023-2024,300,lam=300,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894
B0,2,2023-2024,1000,lam=1000,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894
B0,2,2023-2024,3000,lam=3000,False,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894
B0,2,2023-2024,10000,lam=10000,True,False,0,760,380,5,2.049471703458039e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894
B0,3,2024-2025,100,lam=100,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959
B0,3,2024-2025,300,lam=300,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959
B0,3,2024-2025,1000,lam=1000,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959
B0,3,2024-2025,3000,lam=3000,False,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959
B0,3,2024-2025,10000,lam=10000,True,False,0,1140,380,5,1.9806378759312793e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959
B0,4,2025-2026,100,lam=100,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822
B0,4,2025-2026,300,lam=300,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822
B0,4,2025-2026,1000,lam=1000,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822
B0,4,2025-2026,3000,lam=3000,False,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822
B0,4,2025-2026,10000,lam=10000,True,False,0,1520,380,5,1.1579626146840383e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822
B1,1,2022-2023,100,lam=100,False,False,88,380,380,5,1.9182877508683305e-10,29,0.39642561059081977,0.52105263157894732,0.43425955218109596,0.38641124230546203,1.0011196832756624,0.59606966954269924,0.20846999908575736,0.93623626321705433,0.064883420058608032
B1,1,2022-2023,300,lam=300,False,False,88,380,380,5,1.7979839839199485e-11,29,0.23414164540651236,0.52894736842105261,0.43144196250498607,0.3765478605235198,0.99320139034463117,0.59165543847611324,0.20737505212259238,0.95852505537777055,0.034676334966860622
B1,1,2022-2023,1000,lam=1000,True,False,88,380,380,5,5.6843418860808015e-14,29,0.1334007073435324,0.52894736842105261,0.42520941364180298,0.37183303036961574,0.99702331407554512,0.59424286953137917,0.20914014692326452,0.98385448274603993,0.013168831329505193
B1,1,2022-2023,3000,lam=3000,False,False,88,380,380,5,6.0396132539608516e-14,29,0.073746479099944487,0.53157894736842104,0.41081638080042548,0.35563426472517379,1.0123609624210177,0.60490723522052625,0.21448846361105406,1.0111046920287394,0.0012562703922782692
