fold,test_season,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
1,2022-2023,380,0.52631578947368418,0.43461640739263396,0.37876743139901031,0.99798348265255155,0.59470598230752847,0.20779108146250158
2,2023-2024,380,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94144397656960632,0.5541215983653951,0.19288271843416613
3,2024-2025,380,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666308689341053,0.5838347235413579,0.20051496169776767
4,2025-2026,380,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453634800259535,0.62611691272567171,0.21280656883647109
