rung,fold,test_season,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,inner_best_log_loss,inner_log_loss_at_frozen,inner_folds,design_columns,coef_l2_norm,test_accuracy,test_balanced_accuracy,test_macro_f1,test_log_loss,test_brier_score,test_rps,train_log_loss,generalisation_gap,inner_ll_lam_100,inner_ll_lam_300,inner_ll_lam_1000,inner_ll_lam_3000,inner_ll_lam_10000
B0,1,2022-2023,10000,lam=10000,False,True,1.0704620054471532,,3,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532
B0,2,2023-2024,10000,lam=10000,False,True,1.0556156861713764,,3,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764
B0,3,2024-2025,10000,lam=10000,False,True,1.0537050555290861,,3,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861
B0,4,2025-2026,10000,lam=10000,False,True,1.0636823796433841,,3,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841
B1,1,2022-2023,1000,lam=1000,False,False,1.0399532368501774,,3,88,0.1334007073435324,0.52894736842105261,0.42520941364180298,0.37183303036961574,0.99702331407554512,0.59424286953137917,0.20914014692326452,0.98385448274603993,0.013168831329505193,1.1372972769145202,1.0754265743076883,1.0399532368501774,1.0431342440303266,1.0575982177285046
B1,2,2023-2024,300,lam=300,False,False,0.99161229437294118,,3,88,0.26014833737674331,0.55789473684210522,0.45670150987224156,0.41165260175702495,0.96041741636366496,0.56858891215124785,0.198265159319682,0.96006943181676296,0.00034798454690199154,1.0125130927119919,0.99161229437294118,0.99277370664743625,1.0093755234559862,1.032020845459745
B1,3,2024-2025,300,lam=300,False,False,0.97566223903186922,,3,88,0.2776705761999736,0.50526315789473686,0.43688497882046268,0.37401363380780001,1.0039641852174856,0.6012756526700257,0.20700988933629375,0.95381511414750786,0.050149071069977791,0.98637806676440609,0.97566223903186922,0.9766722044409355,0.99123627280024174,1.0172813574331736
B1,4,2025-2026,300,lam=300,False,False,0.985860997308594,,3,88,0.29880132111318131,0.48684210526315791,0.42830842538444874,0.3615533602543059,1.0448348462687427,0.62878062416142921,0.2126211445692151,0.95915810981749472,0.085676736451247959,0.99340055005636752,0.985860997308594,0.98689480773791638,0.99877849734615098,1.022585194160053
B2,1,2022-2023,3000,lam=3000,False,False,1.0454284870918387,,3,108,0.077217957415563726,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098376,0.21497158023400856,1.0067211041473383,0.0065774242276477324,1.1649549679310087,1.0869107316822424,1.0454462804955338,1.0454284870918387,1.0583344425653374
B2,2,2023-2024,1000,lam=1000,False,False,0.99622429663603518,,3,108,0.17184032124765344,0.58157894736842108,0.4740998838559814,0.42049213134175423,0.96352722794834478,0.56992126819053701,0.19968327450728413,0.9682108998836324,-0.0046836719352876255,1.0472372885726784,1.0040727022622782,0.99622429663603518,1.0105668013917011,1.0324168144143133
B2,3,2024-2025,1000,lam=1000,False,False,0.9782192463120789,,3,108,0.19210037289800405,0.51052631578947372,0.44081133919843601,0.37695798565363786,1.0026951846650169,0.5996085007708315,0.20658499074485384,0.95945288753451008,0.043242297130506868,0.99566819267102502,0.98030179933334438,0.9782192463120789,0.99166942967451865,1.0173740651634946
B2,4,2025-2026,1000,lam=1000,False,False,0.98872046109500378,,3,108,0.20979913925997618,0.48421052631578948,0.42365172189733591,0.35713097360156182,1.0461090547083203,0.62908070454526399,0.21281349126603977,0.96367295453015522,0.08243610017816505,1.0046476963296798,0.99123879123247127,0.98872046109500378,0.99937623934745667,1.0227608653627656
B3,1,2022-2023,3000,lam=3000,False,False,1.0454284870918389,,3,114,0.077217957415563726,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098376,0.21497158023400856,1.0067211041473385,0.0065774242276475103,1.1649549679310085,1.0869107316822424,1.0454462804955338,1.0454284870918389,1.0583344425653374
