fold,test_season,train_seasons,n_train,r2_named,r2_venue,r2_full,r2_named_adjusted,r2_venue_adjusted,r2_full_adjusted,n_regressors_named,n_regressors_venue,n_regressors_full
1,2022-2023,2021-2022,380,0.027778146554165661,0.098686066466328382,0.10215038942190091,0.017407780117410177,0.079250725581505144,0.072792908967031167,4,8,12
2,2023-2024,2021-2022 2022-2023,760,0.01669871285578628,0.058825448392731849,0.060649642818543348,0.011489169612638128,0.048799620945517264,0.045559677241331253,4,8,12
3,2024-2025,2021-2022 2022-2023 2023-2024,1140,0.010806325507471182,0.036766580807978233,0.037360913254972261,0.0073201803991274073,0.029953258656310378,0.027110985090872619,4,8,12
4,2025-2026,2021-2022 2022-2023 2023-2024 2024-2025,1520,0.0085191978026497583,0.026287615392278973,0.026715540973487495,0.005901426707739299,0.021132288405606658,0.018965432474271737,4,8,12
