match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
0,,,,False,False,False,1,1
1,,,,False,False,False,1,1
2,,,,False,False,False,1,1
3,,,,False,False,False,1,1
4,,,,False,False,False,1,1
5,,,,False,False,False,1,1
6,,,,False,False,False,1,1
7,,,,False,False,False,1,1
8,,,,False,False,False,1,1
9,,,,False,False,False,1,1
10,,,,False,False,False,2,2
11,,,,False,False,False,2,2
12,,,,False,False,False,2,2
13,,,,False,False,False,2,2
14,,,,False,False,False,2,2
15,,,,False,False,False,2,2
16,,,,False,False,False,2,2
17,,,,False,False,False,2,2
18,,,,False,False,False,2,2
19,,,,False,False,False,2,2
20,,,,False,False,False,3,3
21,,,,False,False,False,3,3
22,,,,False,False,False,3,3
23,,,,False,False,False,3,3
24,,,,False,False,False,3,3
25,,,,False,False,False,3,3
26,,,,False,False,False,3,3
27,,,,False,False,False,3,3
28,,,,False,False,False,3,3
29,,,,False,False,False,3,3
30,,,,False,False,False,4,4
31,,,,False,False,False,4,4
32,,,,False,False,False,4,4
33,,,,False,False,False,4,4
34,,,,False,False,False,4,4
35,,,,False,False,False,4,4
36,,,,False,False,False,4,4
37,,,,False,False,False,4,4
38,,,,False,False,False,4,4
39,,,,False,False,False,4,4
40,,,,False,False,False,5,5
41,,,,False,False,False,5,5
42,,,,False,False,False,5,5
43,,,,False,False,False,5,5
44,,,,False,False,False,5,5
45,,,,False,False,False,5,5
46,,,,False,False,False,5,5
47,,,,False,False,False,5,5
48,,,,False,False,False,5,5
49,,,,False,False,False,5,5
50,-0.80000000000000004,3.3999999999999995,-4.1999999999999993,True,True,True,6,6
51,-0.40000000000000013,2.2000000000000002,-2.6000000000000005,True,True,True,6,6
52,0.79999999999999993,-1,1.7999999999999998,True,True,True,6,6
53,-1.2000000000000002,0.80000000000000004,-2,True,True,True,6,6
54,-2.1999999999999997,-0.80000000000000004,-1.3999999999999997,True,True,True,6,6
55,0.80000000000000004,0.39999999999999997,0.40000000000000008,True,True,True,6,6
56,-0.19999999999999996,-1.3999999999999999,1.2,True,True,True,6,6
57,0.39999999999999991,-0.59999999999999998,0.99999999999999989,True,True,True,6,6
58,0,0.80000000000000004,-0.80000000000000004,True,True,True,6,6
59,-2,1,-3,True,True,True,6,6
60,0.40000000000000002,0,0.40000000000000002,True,True,True,7,7
61,-0.39999999999999991,-0.59999999999999964,0.19999999999999973,True,True,True,7,7
62,-1.3999999999999999,1,-2.3999999999999999,True,True,True,7,7
63,-1.2,-1.3999999999999999,0.19999999999999996,True,True,True,7,7
64,1,0.59999999999999998,0.40000000000000002,True,True,True,7,7
65,0.20000000000000001,-0.19999999999999996,0.39999999999999997,True,True,True,7,7
66,-1.8,-1.9999999999999998,0.19999999999999973,True,True,True,7,7
67,3.3999999999999999,2.3999999999999999,1,True,True,True,7,7
68,-0.40000000000000013,0.79999999999999993,-1.2000000000000002,True,True,True,7,7
69,0.20000000000000007,-0.60000000000000009,0.80000000000000016,True,True,True,7,7
70,0.20000000000000001,0,0.20000000000000001,True,True,True,8,8
