model,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,log_loss_gap,log_loss_ci_lo,log_loss_ci_hi,rps_gap,rps_ci_lo,rps_ci_hi,verdict
passthrough_lambda_only,0.52017543859649118,0.44331526648599823,0.38221343873517788,0.99309950244984158,0.59186197475832447,0.20349374804043174,0.0052759879535181093,-0.0035071828997671195,0.01425429346472816,0.0014256650509634637,-0.00092015851579777398,0.0037887607586020453,LINK SOUND
dc_walkforward,0.52631578947368418,0.45602762479237696,0.39538758211094671,0.98782351449632355,0.58802441154414153,0.20206808298946827,0,,,0,,,LINK SOUND
