rung,mean_log_loss,D_vs_B1,SE_of_D,D_plus_SE,beats_B1_by_1SE,folds,verdict,winner
B0,1.0688875039038455,0.067327563422485803,0.011777554373824483,0.079105117796310284,False,4,UPHELD,B1
B1,1.0015599404813595,0,0,0,False,4,UPHELD,B1
B2,1.0064074989241669,0.0048475584428074037,0.0039135683494399501,0.0087611267922473538,False,4,UPHELD,B1
B3,1.0055884268539796,0.0040284863726199605,0.0041997373249058473,0.0082282236975258077,False,4,UPHELD,B1
B4,1.0056936672084609,0.0041337267271012446,0.0041435312787721406,0.0082772580058733843,False,4,UPHELD,B1
B5,1.0060874567956641,0.0045275163143045638,0.0040367275723262016,0.0085642438866307645,False,4,UPHELD,B1
B6,1.0064898678618373,0.0049299273804777333,0.0038231281484191917,0.0087530555288969254,False,4,UPHELD,B1
