fold,train_seasons,n_pairs,r,abs_r
1,2021-2022,120,0.048099158877974557,0.048099158877974557
2,2021-2022 + 2022-2023,240,0.085696286292938725,0.085696286292938725
3,2021-2022 + 2022-2023 + 2023-2024,360,-0.0060259317005308139,0.0060259317005308139
4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,480,0.031292732151879978,0.031292732151879978
