rung,fold,column,block,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale,selected_lambda
D3,1,home_rest_days,C_context,-0.00044801283600958834,0.00078547113352925128,-0.00033745829751965909,0.00096517278525761797,7.5324324324324321,4.0891740289422573,1000
D3,1,home_matches_last14,C_context,-0.0061905597094867064,0.0014549485324447666,0.0047356111770419295,0.0079288030602927551,1.5473684210526315,0.84937650262607189,1000
D3,1,home_is_season_opener,C_context,0.0026199200362229864,-0.0025692866554019073,-5.0633380821080529e-05,0.0036698472247605001,0,1,1000
D3,1,away_rest_days,C_context,-0.0014189845223611954,0.0033568869086001551,-0.001937902386238966,0.0041276715531183457,7.6513513513513507,4.2177645377131148,1000
D3,1,away_matches_last14,C_context,-0.0080205225799745497,-0.00588170673137211,0.013902229311346655,0.017093719207797224,1.5394736842105263,0.86207811151896963,1000
D3,1,away_is_season_opener,C_context,0.0026199200362229864,-0.0025692866554019073,-5.0633380821080529e-05,0.0036698472247605001,0,1,1000
D3,1,rel_rest_days_diff,C_context,0.0011785097426039799,-0.0031064041684455129,0.0019278944258415284,0.0038412769996889048,-0.11891891891891893,3.5238912282213986,1000
D3,1,rel_matches_last14_diff,C_context,0.0022122753832190443,0.0084236451321758245,-0.010635920515394881,0.013746809262291527,0.0078947368421052634,0.74864142880264495,1000
D3,1,days_since_season_start,C_context,0.0037935474286477869,-0.0056415867754281311,0.0018480393467803515,0.0070451226295455043,148.78157894736842,84.165045736473743,1000
D3,1,rel_context_available,C_context,-0.0026199200362229894,0.0025692866554019142,5.0633380821078971e-05,0.0036698472247605075,0,1,1000
D3,1,kickoff_hour_bucket=early,C_context,0.00024359615642187678,-0.0040556496554953114,0.0038120534990734338,0.0055713001261232338,0,1,1000
D3,1,kickoff_hour_bucket=afternoon,C_context,0.0014394482411121971,-0.0017409423617512018,0.00030149412063900386,0.0022789888658264076,0,1,1000
D3,1,kickoff_hour_bucket=evening,C_context,-0.0016830443975340728,0.005796592017246513,-0.0041135476197124415,0.0073044090437295968,0,1,1000
D3,1,day_of_week=Mon,C_context,0.0017746478240190347,0.0017899424175281404,-0.0035645902415471753,0.0043657270124797462,0,1,1000
D3,1,day_of_week=Tue,C_context,0.0017430660848608349,-0.00014022259596649752,-0.0016028434888943381,0.0023721401734515262,0,1,1000
D3,1,day_of_week=Wed,C_context,-0.0045117308105998089,0.0017761411176054941,0.0027355896929943139,0.0055672114335079126,0,1,1000
D3,1,day_of_week=Thu,C_context,0.0023746837008598257,-0.00021477623584749376,-0.0021599074650123316,0.0032172118003063041,0,1,1000
D3,1,day_of_week=Fri,C_context,0.0013870754933081231,-0.00044299479370159305,-0.00094408069960652996,0.0017353706171167717,0,1,1000
D3,1,day_of_week=Sat,C_context,-0.0095735146887617282,0.0010261579240066461,0.0085473567647550847,0.012874878300199295,0,1,1000
D3,1,day_of_week=Sun,C_context,0.0068057723963137213,-0.0037942478336246942,-0.0030115245626890223,0.0083536898868147372,0,1,1000
D3,2,home_rest_days,C_context,-0.0050124140967960857,-0.007458724498648415,0.012471138595444494,0.015371602521900032,7.7459459459459472,5.7484823898685242,1000
D3,2,home_matches_last14,C_context,0.0061243294889063256,-0.0047442606709385089,-0.0013800688179678197,0.0078689269246085027,1.5973684210526315,0.84354728507693555,1000
D3,2,home_is_season_opener,C_context,0.0020361471442985738,-0.0033158679477965454,0.0012797208034979717,0.0040961641538597065,0,1,1000
D3,2,away_rest_days,C_context,-0.0033524930671897579,-0.0054403313141014832,0.0087928243812912289,0.010869690665928725,7.813513513513513,5.7797587894561717,1000
D3,2,away_matches_last14,C_context,0.0020209489862839827,-0.013340425871554536,0.011319476885270548,0.017611977577653738,1.5868421052631578,0.84000972821170494,1000
D3,2,away_is_season_opener,C_context,0.0020361471442985738,-0.0033158679477965454,0.0012797208034979717,0.0040961641538597065,0,1,1000
D3,2,rel_rest_days_diff,C_context,-0.0032600629363358446,-0.0039493619969485048,0.0072094249332843481,0.0088431486700424645,-0.06756756756756753,2.8947824256077475,1000
D3,2,rel_matches_last14_diff,C_context,0.0052172167922703979,0.010836026837758604,-0.016053243630029013,0.020058550788410415,0.010526315789473684,0.66482663893213434,1000
