rung,fold,lambda,lambda_label,inner_mean_log_loss,selected
D2_rescaled,4,3000,lam=3000,0.9966854090961621,False
D2_rescaled,4,10000,lam=10000,1.0200948568291173,False
E1c,1,9.9999999999999995e-07,lam=1e-06,8.0647620112191927,False
E1c,1,3.0000000000000001e-06,lam=3e-06,7.000030605455807,False
E1c,1,1.0000000000000001e-05,lam=1e-05,6.9994035722691219,False
E1c,1,3.0000000000000001e-05,lam=3e-05,6.5803825990803446,False
E1c,1,0.0001,lam=0.0001,6.5430969448275729,False
E1c,1,0.00029999999999999997,lam=0.0003,6.3512227021795633,False
E1c,1,0.001,lam=0.001,6.0274237047312722,False
E1c,1,0.0030000000000000001,lam=0.003,5.5369811321485241,False
E1c,1,0.01,lam=0.01,4.7770177873881172,False
E1c,1,0.029999999999999999,lam=0.03,3.9407928107341768,False
E1c,1,0.10000000000000001,lam=0.1,2.9774863386116932,False
E1c,1,0.29999999999999999,lam=0.3,2.2990841336828844,False
E1c,1,1,lam=1,1.7197567481428546,False
E1c,1,3,lam=3,1.4240315805754964,False
E1c,1,10,lam=10,1.3045903694535159,False
E1c,1,30,lam=30,1.2096316220276244,False
E1c,1,100,lam=100,1.1064982423221272,False
E1c,1,300,lam=300,1.0474657402711034,False
E1c,1,1000,lam=1000,1.0270914978979411,True
E1c,1,3000,lam=3000,1.0373692103409853,False
E1c,1,10000,lam=10000,1.0548845883415865,False
E1c,2,9.9999999999999995e-07,lam=1e-06,2.9852138473222514,False
E1c,2,3.0000000000000001e-06,lam=3e-06,2.9430909130044798,False
E1c,2,1.0000000000000001e-05,lam=1e-05,2.8900900545797854,False
E1c,2,3.0000000000000001e-05,lam=3e-05,2.8400792439410041,False
E1c,2,0.0001,lam=0.0001,2.7706526782516288,False
E1c,2,0.00029999999999999997,lam=0.0003,2.6788997663156131,False
E1c,2,0.001,lam=0.001,2.539271257323362,False
E1c,2,0.0030000000000000001,lam=0.003,2.395076762718908,False
E1c,2,0.01,lam=0.01,2.2172642107384468,False
E1c,2,0.029999999999999999,lam=0.03,2.0714138325932514,False
E1c,2,0.10000000000000001,lam=0.1,1.9177829568959799,False
E1c,2,0.29999999999999999,lam=0.3,1.762906022721598,False
E1c,2,1,lam=1,1.5815958066691476,False
E1c,2,3,lam=3,1.4257735455451728,False
E1c,2,10,lam=10,1.2781676578481642,False
E1c,2,30,lam=30,1.1557496852955462,False
E1c,2,100,lam=100,1.0569741211435888,False
E1c,2,300,lam=300,1.0137411578318622,False
E1c,2,1000,lam=1000,1.0015054683556746,True
E1c,2,3000,lam=3000,1.0116047585653671,False
E1c,2,10000,lam=10000,1.0327498822046857,False
E1c,3,9.9999999999999995e-07,lam=1e-06,1.9317901056651086,False
E1c,3,3.0000000000000001e-06,lam=3e-06,1.8893820452222458,False
E1c,3,1.0000000000000001e-05,lam=1e-05,1.8371236219696363,False
E1c,3,3.0000000000000001e-05,lam=3e-05,1.7854855712228301,False
E1c,3,0.0001,lam=0.0001,1.7119685310567463,False
E1c,3,0.00029999999999999997,lam=0.0003,1.6091342720372173,False
E1c,3,0.001,lam=0.001,1.5014936267722501,False
E1c,3,0.0030000000000000001,lam=0.003,1.4310513010855834,False
E1c,3,0.01,lam=0.01,1.3710689602862129,False
E1c,3,0.029999999999999999,lam=0.03,1.3276680223195458,False
E1c,3,0.10000000000000001,lam=0.1,1.2784427808695988,False
E1c,3,0.29999999999999999,lam=0.3,1.2270809995836229,False
E1c,3,1,lam=1,1.1623425252391992,False
E1c,3,3,lam=3,1.1025992769131736,False
E1c,3,10,lam=10,1.0465926496266045,False
E1c,3,30,lam=30,1.008881219782503,False
E1c,3,100,lam=100,0.98349813510106687,False
E1c,3,300,lam=300,0.97412739576546736,True
E1c,3,1000,lam=1000,0.9760569260949391,False
E1c,3,3000,lam=3000,0.989395793052401,False
E1c,3,10000,lam=10000,1.014231123482866,False
E1c,4,9.9999999999999995e-07,lam=1e-06,1.1813225388973958,False
E1c,4,3.0000000000000001e-06,lam=3e-06,1.1796302934101162,False
E1c,4,1.0000000000000001e-05,lam=1e-05,1.1777788201616421,False
E1c,4,3.0000000000000001e-05,lam=3e-05,1.1760803677488398,False
E1c,4,0.0001,lam=0.0001,1.1741630666022915,False
E1c,4,0.00029999999999999997,lam=0.0003,1.1722327610988574,False
