scope,fold,test_season,matches,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
fold,1,2022-2023,380,0.55000000000000004,0.44219518681026465,0.3881249788429641,0.98505532536005436,0.5857152757679247,0.20472030061494761
fold,2,2023-2024,380,0.56315789473684208,0.4567402245451026,0.40351890351890346,0.96785290725249618,0.57300079761761635,0.20234940713555544
fold,3,2024-2025,380,0.53157894736842104,0.45876507005539269,0.39396532166585646,1.0097826854849266,0.6037442172159061,0.20938694836849409
fold,4,2025-2026,380,0.49736842105263157,0.42960797054364308,0.36079935847843519,1.0350342852011936,0.6207335913508687,0.21022490942054609
pooled,-1,all,1520,0.53552631578947374,0.44713343731689403,0.38741396263520161,0.99943130082466769,0.59579847048807899,0.20667039138488577
