rung,fold,test_season,train_matches,test_matches,design_width,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,rarest_class,epv,g6_status,p_home,p_draw,p_away,newton_iterations,gradient_norm,imputed_cells,constant_columns,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
D1,1,2022-2023,380,380,88,1000,lam=1000,False,False,88,1,PASS,,,,5,5.3290705182007514e-14,9762,29,0.53157894736842104,0.42702100784470148,0.37331122696976354,0.99681289908311221,0.59406660945927814,0.20907205607563714
D1,2,2023-2024,760,380,88,1000,lam=1000,False,False,175,1.9886363636363635,PASS,,,,5,2.3248514224860628e-11,11468,4,0.56578947368421051,0.46267131242741,0.41012176560121766,0.9629609815274065,0.56974079771686781,0.20002818074874412
D1,3,2024-2025,1140,380,88,300,lam=300,False,False,257,2.9204545454545454,PASS,,,,6,3.907985046680551e-14,13170,4,0.5,0.43220918866080155,0.3696785020314432,1.0111170015383215,0.60626116148306963,0.20937580274606593
D1,4,2025-2026,1520,380,88,300,lam=300,False,False,350,3.9772727272727271,PASS,,,,6,4.7073456244106637e-14,14872,2,0.49473684210526314,0.43361490145115877,0.36641679364852103,1.0448237591047551,0.62757059034777851,0.21227041931586876
D2_original,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,,,,5,4.2632564145606011e-14,9765,29,0.53421052631578947,0.4313256215928733,0.37698451894141427,0.99335767809045461,0.59173850556149776,0.20788758891326531
D2_original,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,,,,5,3.3075320260422814e-11,11471,4,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.96054143449710416,0.5681421943747017,0.19922976391543568
D2_original,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,,,,6,4.5741188614556449e-14,13173,4,0.50526315789473686,0.43688497882046268,0.3738864915335503,1.0079767747836197,0.60408465478213336,0.20832636628355977
D2_original,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,,,,6,5.9507954119908391e-14,14875,2,0.48947368421052634,0.42949967511371018,0.36271958360442413,1.0415757238124559,0.62546784513965847,0.21124110489578618
D2_rescaled,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,,,,7,9.1323837381196427e-11,9765,29,0.5368421052631579,0.43438372556840843,0.37992137650382252,0.99264383399144629,0.59126579905157695,0.20762578612240676
D2_rescaled,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,,,,7,8.3851903198706168e-10,11471,4,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.9600651588781518,0.56785261444207036,0.19904040875358281
D2_rescaled,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,,,,8,1.1238362671028845e-12,13173,4,0.50789473684210529,0.43903551645487132,0.37577425579703272,1.0072052986068598,0.60353057587454673,0.208072585580308
D2_rescaled,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,,,,7,5.487310605900575e-11,14875,2,0.48421052631578948,0.42451808533679875,0.35827369334200826,1.041217396455252,0.62516632199202016,0.21109137148694915
D2_static,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,,,,5,4.9737991503207013e-14,10902,33,0.53157894736842104,0.42702100784470148,0.37331122696976354,0.99681289908311221,0.59406660945927814,0.20907205607563714
D2_static,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,,,,6,1.4005185899890193e-12,12608,6,0.56578947368421051,0.4632210607820364,0.41651703416409297,0.96580429867779782,0.57101408997269998,0.20028344319633423
D2_static,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,,,,6,6.2172489379008766e-14,14310,4,0.50526315789473686,0.43651026392961878,0.37330824209245739,1.0041140878898913,0.6015001338173378,0.20743436519681055
D2_static,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,,,,6,5.773159728050814e-14,16012,2,0.49210526315789471,0.43415637860082307,0.36682954891317071,1.0451708935599218,0.62745978774125366,0.21162047279460036
