rung,fold,column,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale,robust_scaled
D2_original,1,rel_elo_diff,0.021646446953550481,0.0012930631435781543,-0.022939510097128652,0.031566783198520916,0.35834992638157487,74.425246016761562,False
D2_original,1,rel_attack_diff,0.011657041708913702,0.0019357357131602544,-0.013592777422073958,0.01801103251345134,0.043393118506921735,1.3773262882270274,False
D2_original,1,rel_defence_diff,0.0015167415864288183,-0.0049531004896699741,0.0034363589032411481,0.0062162908565040823,0.40293289551803679,5.1085292698895941,False
D2_original,1,expected_total_goals,-0.0024981799791303429,-0.0034029280931238822,0.0059011080722542238,0.0072556115728119978,4.6364623878910978,29.872112213322492,False
D2_original,2,rel_elo_diff,0.029378883606322782,0.00054944887387036682,-0.02992833248019312,0.041941933444511609,0.26691472596995591,89.015769523924732,False
D2_original,2,rel_attack_diff,0.017476201777287294,0.0015086630152265433,-0.018984864792513829,0.025847993806947633,0.020005592164798254,1.0583518542047008,False
D2_original,2,rel_defence_diff,0.00039090721181804045,-0.0057843679148930401,0.0053934607030749803,0.007918405077962952,0.20238164797271269,3.6275061859819289,False
D2_original,2,expected_total_goals,-0.0025733992520151736,-0.0049119155311533888,0.0074853147831685819,0.0093155373059518286,3.7301700997443414,21.147001823881151,False
D2_original,3,rel_elo_diff,0.066089615715996836,-0.00020966575116882681,-0.065879949964828002,0.093316928113732892,0.39252099835910925,96.503506213086197,False
D2_original,3,rel_attack_diff,0.041965662935257948,0.0018548314576491848,-0.043820494392907125,0.060702495782058032,0.011920230812966597,0.91104893365456563,False
D2_original,3,rel_defence_diff,-0.0026916500514732556,-0.011725503529723961,0.014417153581197223,0.018777292946774649,0.13329929606854016,2.9748438076584494,False
D2_original,3,expected_total_goals,-0.0027895943538041295,-0.0054327244290614208,0.0082223187828655443,0.01024220960281326,3.5170722949792355,17.27248403576974,False
D2_original,4,rel_elo_diff,0.080432139806469863,0.0041725987377809973,-0.084604738544250824,0.11681053667463004,0.53837099385785392,100.27827977255359,False
D2_original,4,rel_attack_diff,0.051488726444284878,0.00091591509157008355,-0.0524046415358548,0.073472268957823841,0.010017417958658776,0.8225114992125353,False
D2_original,4,rel_defence_diff,-0.0072913999506698463,-0.010801012544253159,0.018092412494922973,0.022297124817074226,0.098711991631423204,2.5859207999989073,False
D2_original,4,expected_total_goals,-0.0011593649118123489,-0.0038743044004486671,0.0050336693122610271,0.0064569488406890727,3.3943648932059007,14.962386943816286,False
D2_rescaled,1,rel_elo_diff,0.021458123294187708,0.0010220473413453429,-0.022480170635533047,0.031094271303235176,0.35834992638157487,74.425246016761562,False
D2_rescaled,1,rel_attack_diff,0.017714016355633917,0.0063356619359723381,-0.024049678291606251,0.030533817539645312,-0.026414815329839803,0.58999539904411724,True
D2_rescaled,1,rel_defence_diff,0.002487405683177337,-0.007382065511561826,0.0048946598283844964,0.0091999876676707795,0,0.61892504156658124,True
D2_rescaled,1,expected_total_goals,-0.0019333951765318949,0.0004064892480716567,0.0015269059284601717,0.0024969365494143972,2.7760122582940996,0.87554767646540699,True
D2_rescaled,2,rel_elo_diff,0.028925926072074792,0.00041040840620460681,-0.029336334478279363,0.041200705756194299,0.26691472596995591,89.015769523924732,False
D2_rescaled,2,rel_attack_diff,0.024635429496781186,0.0038573286685407173,-0.028492758165321926,0.037863183157462371,-0.027973847884895542,0.58395576744207156,True
D2_rescaled,2,rel_defence_diff,-0.00042887872000647918,-0.0047103034503388182,0.0051391821703452596,0.0069844175799233816,0,0.48995850101737443,True
D2_rescaled,2,expected_total_goals,-0.00098108061258599696,-0.00010411046597692307,0.0010851910785629273,0.0014666280491353685,2.7760122582940996,0.6902751146495949,True
D2_rescaled,3,rel_elo_diff,0.064446113380022638,-0.00096706404242714232,-0.063479049337595447,0.090464503798217813,0.39252099835910925,96.503506213086197,False
D2_rescaled,3,rel_attack_diff,0.052939603251350054,0.0092513279033335331,-0.062190931154683535,0.082194285557281518,-0.021742571843945013,0.55460971802770864,True
D2_rescaled,3,rel_defence_diff,-0.0052765955729170387,-0.0075110771234996963,0.012787672696416496,0.015741134437706961,0,0.46991661066535417,True
D2_rescaled,3,expected_total_goals,-1.0542068915907318e-05,0.00086627623667265567,-0.00085573416775693815,0.0012177136852755768,2.8879926869004189,0.69451907026637372,True
D2_rescaled,4,rel_elo_diff,0.078056908388571156,0.0033963530489393508,-0.081453261437510541,0.11286739989927239,0.53837099385785392,100.27827977255359,False
D2_rescaled,4,rel_attack_diff,0.064503449208176133,0.007875347561153585,-0.072378796769329817,0.097269760361258603,-0.0039261669822839851,0.54529643418531537,True
D2_rescaled,4,rel_defence_diff,-0.0081682533700084617,-0.0066762640893948807,0.014844517459403331,0.018211330646345659,0,0.45530552595695178,True
D2_rescaled,4,expected_total_goals,0.0012172961392166112,0.00042595285113200196,-0.0016432489903488591,0.002088902335252104,2.9208169580291701,0.64129978354686157,True
D2_static,1,rel_elo_diff,0,0,0,0,0,1,False
D2_static,1,rel_attack_diff,0,0,0,0,0,1,True
D2_static,1,rel_defence_diff,0,0,0,0,0,1,True
D2_static,1,expected_total_goals,0,0,0,0,0,1,True
D2_static,2,rel_elo_diff,0.013254383429351738,0.00047011069230926312,-0.013724494121661034,0.01908563394416873,0,48.269507132103286,False
D2_static,2,rel_attack_diff,0.0036645085059676921,-0.0016708542654638981,-0.001993654240503794,0.0044938884941003185,0,1,True
D2_static,2,rel_defence_diff,-0.0037417979792239652,0.00088170312129608576,0.0028600948579278799,0.004791512820370338,0,1,True
