variant,fold,train_seasons,test_season,train_matches,test_matches,refits,max_goals,half_life_days,rho_first_fit,rho_last_fit,home_advantage_multiplier,neutral_team_predictions,degenerate_parameters,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,base_rate_log_loss,base_rate_brier,base_rate_rps,elo_log_loss,elo_brier,log_loss_vs_base,log_loss_vs_elo,brier_vs_base,brier_vs_elo,rps_vs_base,beats_base_rate,beats_elo
poisson_static,1,2021-2022,2022-2023,380,380,1,25,107,0,0,1.1412829447116395,108,0,0.49210526315789471,0.41231219252758944,0.35790029179859689,1.0402474758783657,0.62318270042352508,0.22330840515764164,1.0546504846060354,0.63667590027700816,0.23006925207756235,0.98505532536005436,0.5857152757679247,-0.014403008727669642,0.055192150518311389,-0.013493199853483073,0.037467424655600379,-0.00676084691992071,True,False
poisson_static,2,2021-2022 + 2022-2023,2023-2024,760,380,1,25,107,0,0,1.2819966456311176,74,0,0.52105263157894732,0.42948509485094855,0.37906976744186038,0.9925360752199619,0.59212312764877306,0.21089170726033316,1.0537563827171665,0.63691481994459831,0.23374047783933519,0.96785290725249618,0.57300079761761635,-0.06122030749720464,0.024683167967465725,-0.044791692295825247,0.019122330031156709,-0.022848770579002031,True,False
poisson_static,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,1,25,107,0,0,1.2168767694505984,38,0,0.50263157894736843,0.43660801564027368,0.37575859849124055,1.0238941576455975,0.61307496117549254,0.21488245352607258,1.0826402716069496,0.65687596183441055,0.23583140966451213,1.0097826854849266,0.6037442172159061,-0.058746113961352098,0.01411147216067099,-0.04380100065891801,0.0093307439595864405,-0.020948956138439556,True,False
poisson_static,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,1,25,107,0,0,1.0934725727578194,38,0,0.45263157894736844,0.40935672514619875,0.34419943694984778,1.0503136406860056,0.6332019807184176,0.2160136200498835,1.08450287668523,0.65619373268698056,0.22776359072022156,1.0350342852011936,0.6207335913508687,-0.03418923599922441,0.015279355484812074,-0.022991751968562957,0.012468389367548904,-0.011749970670338061,True,False
dc_static,1,2021-2022,2022-2023,380,380,1,25,107,-0.014992741164636749,-0.014992741164636749,1.1412829447116395,108,0,0.49210526315789471,0.41231219252758944,0.35790029179859689,1.0406916642797812,0.62328416627102612,0.22332531613222517,1.0546504846060354,0.63667590027700816,0.23006925207756235,0.98505532536005436,0.5857152757679247,-0.013958820326254173,0.055636338919726858,-0.013391734005982037,0.037568890503101415,-0.0067439359453371761,True,False
dc_static,2,2021-2022 + 2022-2023,2023-2024,760,380,1,25,107,0.099309872880644953,0.099309872880644953,1.2819966456311176,74,0,0.52105263157894732,0.42948509485094855,0.37906976744186038,0.99018795700985629,0.59093988066831193,0.21069449943025631,1.0537563827171665,0.63691481994459831,0.23374047783933519,0.96785290725249618,0.57300079761761635,-0.06356842570731025,0.022335049757360115,-0.045974939276286375,0.017939083050695581,-0.023045978409078877,True,False
dc_static,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,1,25,107,-0.037767853439782451,-0.037767853439782451,1.2168767694505984,38,0,0.50263157894736843,0.43660801564027368,0.37575859849124055,1.0232919940164467,0.61245816173825329,0.21477965361986609,1.0826402716069496,0.65687596183441055,0.23583140966451213,1.0097826854849266,0.6037442172159061,-0.059348277590502985,0.013509308531520103,-0.044417800096157256,0.0087139445223471945,-0.021051756044646042,True,False
dc_static,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,1,25,107,0.013350100461150908,0.013350100461150908,1.0934725727578194,38,0,0.45263157894736844,0.40935672514619875,0.34419943694984778,1.050901754503599,0.63350810603793917,0.21606464093647043,1.08450287668523,0.65619373268698056,0.22776359072022156,1.0350342852011936,0.6207335913508687,-0.033601122181631027,0.015867469302405457,-0.02268562664904139,0.012774514687070471,-0.011698949783751134,True,False
poisson_walkforward,1,2021-2022,2022-2023,380,380,117,25,107,0,0,1.2546701511608211,3,5,0.52631578947368418,0.43461640739263396,0.37940379403794039,0.9952021734370039,0.59382754935948401,0.20764467597116082,1.0546504846060354,0.63667590027700816,0.23006925207756235,0.98505532536005436,0.5857152757679247,-0.059448311169031487,0.010146848076949544,-0.042848350917524147,0.0081122735915593047,-0.022424576106401528,True,False
poisson_walkforward,2,2021-2022 + 2022-2023,2023-2024,760,380,120,25,107,0,0,1.236426775298276,2,3,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94300962805081101,0.55498423850404877,0.19302649179060835,1.0537563827171665,0.63691481994459831,0.23374047783933519,0.96785290725249618,0.57300079761761635,-0.11074675466635553,-0.024843279201685164,-0.081930581440549544,-0.018016559113567587,-0.040713986048726836,True,True
poisson_walkforward,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,109,25,107,0,0,1.1075031006656209,1,3,0.53157894736842104,0.46550993809058322,0.40097217912917577,0.97743002707446425,0.58446015027796905,0.20061919948720286,1.0826402716069496,0.65687596183441055,0.23583140966451213,1.0097826854849266,0.6037442172159061,-0.1052102445324854,-0.032352658410462309,-0.072415811556441501,-0.01928406693793705,-0.035212210177309272,True,True
poisson_walkforward,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,114,25,107,0,0,1.227385224092963,1,4,0.46842105263157896,0.41650422352176736,0.35154291979949875,1.0460197473557142,0.62666024837995948,0.21289712477885245,1.08450287668523,0.65619373268698056,0.22776359072022156,1.0350342852011936,0.6207335913508687,-0.038483129329515808,0.010985462154520675,-0.029533484307021074,0.0059266570290907872,-0.014866465941369117,True,False
dc_walkforward,1,2021-2022,2022-2023,380,380,117,25,107,-0.014992741164636749,0.097438205997552929,1.2546701511608211,3,5,0.52631578947368418,0.43461640739263396,0.37876743139901031,0.99798348265255155,0.59470598230752847,0.20779108146250158,1.0546504846060354,0.63667590027700816,0.23006925207756235,0.98505532536005436,0.5857152757679247,-0.056667001953483842,0.012928157292497189,-0.041969917969479686,0.0089907065396037655,-0.022278170615060766,True,False
dc_walkforward,2,2021-2022 + 2022-2023,2023-2024,760,380,120,25,107,0.099309869191709227,-0.038292500201770156,1.236426775298276,2,3,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94144397656960632,0.5541215983653951,0.19288271843416613,1.0537563827171665,0.63691481994459831,0.23374047783933519,0.96785290725249618,0.57300079761761635,-0.11231240614756022,-0.026408930682889853,-0.082793221579203213,-0.018879199252221257,-0.040857759405169058,True,True
dc_walkforward,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,109,25,107,-0.037767853441729012,0.0059401465075187175,1.1075031006656209,1,3,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666308689341053,0.5838347235413579,0.20051496169776767,1.0826402716069496,0.65687596183441055,0.23583140966451213,1.0097826854849266,0.6037442172159061,-0.10597718471353912,-0.033119598591516031,-0.073041238293052646,-0.019909493674548195,-0.035316447966744463,True,True
dc_walkforward,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,114,25,107,0.013350100461150908,-0.12593806722514606,1.227385224092963,1,4,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453634800259535,0.62611691272567171,0.21280656883647109,1.08450287668523,0.65619373268698056,0.22776359072022156,1.0350342852011936,0.6207335913508687,-0.039139396659276571,0.010329194824759913,-0.030076819961308843,0.0053833213748030184,-0.014957021883750476,True,False
