rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B0,1,1,0.01,lam=0.01,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,0.01,lam=0.01,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,0.01,lam=0.01,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,0.029999999999999999,lam=0.03,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,0.029999999999999999,lam=0.03,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,0.029999999999999999,lam=0.03,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,0.10000000000000001,lam=0.1,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,0.10000000000000001,lam=0.1,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,0.10000000000000001,lam=0.1,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,0.29999999999999999,lam=0.3,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,0.29999999999999999,lam=0.3,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,0.29999999999999999,lam=0.3,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,1,lam=1,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,1,lam=1,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,1,lam=1,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,3,lam=3,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,3,lam=3,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,3,lam=3,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
