model,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
D0,1520,0.44473684210526315,0.33333333333333331,0.20522161505768063,1.0688875039038455,0.64666510368574937,0.23185118257540779
D2_rescaled,1520,0.52500000000000002,0.44149067861652352,0.38239286406825673,1.0002829219829275,0.59695382784005346,0.20645753798581171
D3,1520,0.52105263157894732,0.43791933846649006,0.37917865210537438,1.0012496062596037,0.59756020057623804,0.20661549225436102
D4,1520,0.52697368421052626,0.44256146171176747,0.38332530599637993,0.99974943939652117,0.59627094077659304,0.20618831291596168
elo_v1,1520,0.53552631578947374,0.44713343731689403,0.38741396263520161,0.99943130082466769,0.59579847048807899,0.20667039138488577
poisson_walkforward,1520,0.52697368421052626,0.45134435889183228,0.3907064937497074,0.99041539397949829,0.58998304663036538,0.20354687300695612
dc_walkforward,1520,0.52631578947368418,0.45106465898754067,0.3917350023174469,0.99036350653538052,0.58969480423498832,0.20349883260772664
