season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2025-2026,2026-04-24,Sunderland,Nottingham,A,1.0878427008551819,1.1569046277960211,1.0002552739952772,0.069061926940839236,-0.087587426859904616,0.012434552590306291,0.35872215563912879,0.00-0.40,34,MW 32-38,home promoted,H,favourite did not
2022-2023,2023-04-15,Wolves,Brentford,H,1.0878427008551816,1.1943779756418345,0.79257560025454787,0.10653527478665281,-0.29526710060063377,0.054089362251729389,0.35872215563912885,0.00-0.40,31,MW 20-31,neither promoted,A,favourite did not
2025-2026,2026-04-20,Crystal Palace,West Ham,D,1.2353101643558602,1.2065357892063842,1.2362247979232261,-0.028774375149476006,0.00091463356736598556,0.0023186779312031058,0.3592851147460438,0.00-0.40,33,MW 32-38,neither promoted,H,favourite did not
2024-2025,2025-04-05,Ipswich Town,Wolves,A,1.0218171428614993,0.6783757771495853,0.86063485585064181,-0.34344136571191397,-0.16118228701085746,-0.10530617043235538,0.3599402826349265,0.00-0.40,31,MW 20-31,home promoted,A,favourite delivered
2024-2025,2025-02-22,Aston Villa,Chelsea,H,1.021181036758257,1.192841217059122,1.0236998258796033,0.17166018030086505,0.0025187891213462876,0.07703346265850719,0.36016931568245014,0.00-0.40,26,MW 20-31,neither promoted,H,favourite delivered
2023-2024,2024-03-16,Luton Town,Nottingham,D,1.2769122504556929,1.4975822716495446,1.3571914709799753,0.22067002119385171,0.08027922052428238,0.02333212418620198,0.36055143160127251,0.00-0.40,29,MW 20-31,home promoted,H,favourite did not
2024-2025,2025-02-01,Nottingham,Brighton,H,1.0192240618743702,0.96720799936456292,1.1136773347773892,-0.052016062509807282,0.09445327290301897,-0.020175849239507382,0.36087484811664639,0.00-0.40,24,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-05-08,Fulham,Leicester City,H,1.0192240618743702,0.64109344811219515,0.87919215611107826,-0.37813061376217505,-0.14003190576329194,-0.12273841449045308,0.36087484811664639,0.00-0.40,35,MW 32-38,home promoted,H,favourite delivered
2023-2024,2023-11-26,Everton,Manchester Utd,A,1.0454919886949805,1.0322150153478822,1.0802557536768631,-0.01327697334709832,0.034763764981882606,0.00042935597704391038,0.36087484811664639,0.00-0.40,13,MW 7-19,neither promoted,H,favourite did not
2025-2026,2025-11-29,Everton,Newcastle,A,1.0454919886949805,1.169889133771677,0.95165428131772534,0.12439714507669652,-0.093837707377255164,0.039248930444630792,0.36087484811664639,0.00-0.40,13,MW 7-19,neither promoted,H,favourite did not
2022-2023,2023-04-22,Brentford,Aston Villa,D,1.2289267369209977,1.4282244157395896,1.4963991874938853,0.19929767881859184,0.2674724505728876,0.019338258581491963,0.36158592090624053,0.00-0.40,32,MW 32-38,neither promoted,H,favourite did not
2023-2024,2023-11-11,Crystal Palace,Everton,A,1.1255953759714605,1.3150437171942664,1.0560570402465868,0.18944834122280585,-0.069538335724873779,0.070051768742005749,0.36189683860232946,0.00-0.40,12,MW 7-19,neither promoted,H,favourite did not
