rung,fold,column,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale
E1b,1,home_sot_residual_last5,0.0075726108289527515,-0.0082362367917563559,0.00066362596280360132,0.011208052046415583,-0.074545454545454581,1.4590968564024935
E1b,1,away_sot_residual_last5,-0.009679477931294837,-0.0040757738604352035,0.01375525179173004,0.017306391230921689,0.075151515151515122,1.4778863306694419
E1b,1,rel_sot_residual_diff,0.012314971919717234,-0.0029113422132056037,-0.0094036297065116323,0.015765871321401965,-0.14969696969696969,2.0588224596247215
E1b,1,home_sot_residual_available,-0.0011086430643221731,0.0014026334271517028,-0.0002939903628295206,0.0018118775644258148,0,1
E1b,1,away_sot_residual_available,-0.0011086430643221731,0.0014026334271517028,-0.0002939903628295206,0.0018118775644258148,0,1
E1b,1,rel_sot_residual_available,-0.0011086430643221731,0.0014026334271517028,-0.0002939903628295206,0.0018118775644258148,0,1
E1b,2,home_sot_residual_last5,0.014575816519542326,-0.017766677327734137,0.0031908608081918119,0.023201095732237297,-0.079696969696969627,1.4185277483668635
E1b,2,away_sot_residual_last5,-0.012145304243639412,-0.0056375406159478005,0.017782844859587209,0.02226027517051786,0.086666666666666531,1.4384579950449603
E1b,2,rel_sot_residual_diff,0.018886369809669807,-0.0084627934727190372,-0.010423576336950778,0.023172500547022183,-0.16636363636363624,2.0198010821571653
E1b,2,home_sot_residual_available,-0.0019090437356186652,-0.00038639389313691361,0.0022954376287555789,0.0030104455040185336,0,1
E1b,2,away_sot_residual_available,-0.0019090437356186652,-0.00038639389313691361,0.0022954376287555789,0.0030104455040185336,0,1
E1b,2,rel_sot_residual_available,-0.0019090437356186652,-0.00038639389313691361,0.0022954376287555789,0.0030104455040185336,0,1
E1b,3,home_sot_residual_last5,0.040489681260940984,-0.061258276383385761,0.020768595122444809,0.076310715220314324,-0.066734074823053505,1.5083380976163012
E1b,3,away_sot_residual_last5,-0.036560645275819328,-0.015893885496602381,0.052454530772421695,0.065884551889789242,0.080121089808274287,1.5056380548345567
E1b,3,rel_sot_residual_diff,0.055470528795962516,-0.03419666870895869,-0.021273860087003812,0.068549025074725864,-0.14924165824064686,2.1470608084369718
E1b,3,home_sot_residual_available,0.00034849202164061014,-0.00020505500312495439,-0.00014343701851569576,0.00042903195887300353,0,1
E1b,3,away_sot_residual_available,-0.0018549771363780172,0.0015350964130218833,0.00031988072335609386,0.0024289472721598258,0,1
E1b,3,rel_sot_residual_available,0.00034849202164061014,-0.00020505500312495439,-0.00014343701851569576,0.00042903195887300353,0,1
E1b,4,home_sot_residual_last5,0.033881172504375161,-0.044857761068878586,0.010976588564503445,0.057276854617709365,-0.070811220621682949,1.4928924221813615
E1b,4,away_sot_residual_last5,-0.0481535429828042,0.00090270016573719511,0.047250842817066999,0.067470146852583374,0.080847842543527948,1.5007904606749276
E1b,4,rel_sot_residual_diff,0.059200039254152306,-0.034560140163910708,-0.024639899090241592,0.072843479893670751,-0.15344958301743816,2.1219625046908801
E1b,4,home_sot_residual_available,0.0073828102040904026,-0.0066124296357105332,-0.00077038056837985022,0.0099410059056909104,0,1
E1b,4,away_sot_residual_available,0.0053295747408537717,-0.0048842624259975995,-0.00044531231485616123,0.0072428371113895046,0,1
E1b,4,rel_sot_residual_available,0.0073828102040904026,-0.0066124296357105332,-0.00077038056837985022,0.0099410059056909104,0,1
