rung,mean_log_loss,D_vs_B1,SE_of_D,D_plus_SE,beats_B1_by_1SE,folds,verdict,winner,reframed,median_selected_lambda,b1_to_b6_gap_selected,b1_to_b6_gap_frozen,predeclaration_sha256
B0,1.0688875039038455,0.061262024905394535,0.01117333478955415,0.072435359694948687,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B1,1.0076254789984509,0,0,0,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B2,1.0202413302178999,0.012615851219449026,0.0030455419815532342,0.015661393201002259,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B3,1.0193195822652521,0.011694103266801259,0.00414615786908117,0.015840261135882428,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B4,1.0207879818510386,0.013162502852587632,0.0032285987782468008,0.016391101630834432,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B5,1.0253004970915511,0.017675018093100431,0.0034487436883339304,0.02112376178143436,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
B6,1.0291203211921951,0.021494842193744285,0.0011512654660392593,0.022646107659783542,False,4,UPHELD,B1,True,100,0.021494842193744201,0.11376553873083384,1de3af06af72634d91d1f0f07b50256785a5a1c16fda41de85138cf975524da4
