book,season,date,home_team,away_team,result,overround,shin_z,price_H,prop_p_H,shin_p_H,price_D,prop_p_D,shin_p_D,price_A,prop_p_A,shin_p_A
B365C,2022-2023,2022-08-05,Crystal Palace,Arsenal,A,1.0555555555555556,0.027922871761211887,4.5,0.21052631578947367,0.20548693467897539,3.6000000000000001,0.26315789473684209,0.26023809310695012,1.8,0.52631578947368418,0.5342749722140745
B365C,2022-2023,2022-08-06,Bournemouth,Aston Villa,H,1.0485347985347986,0.024336254302837812,4,0.23842794759825325,0.23501436447835508,3.5,0.27248908296943231,0.27028532306456532,1.95,0.48908296943231444,0.49470031245707963
B365C,2022-2023,2022-08-06,Everton,Chelsea,A,1.0371026822639726,0.018716426334934366,6.5,0.14834225817477498,0.1432642292443726,4.2000000000000002,0.22957730431810411,0.22667249874118592,1.55,0.62208043750712083,0.63006327201444146
B365C,2022-2023,2022-08-06,Fulham,Liverpool,D,1.0460721343873518,0.023744473870868477,11,0.086905183610815923,0.078616295421424801,5.75,0.16625339473373479,0.16036367344080327,1.28,0.74684142165544931,0.76102003113777195
B365C,2022-2023,2022-08-06,Leeds United,Wolves,H,1.0583045646336784,0.02917147655191904,2.3700000000000001,0.39869517941283078,0.4015169690185032,3.2999999999999998,0.28633562885103303,0.28431077031437663,3,0.3149691917361363,0.31417226066712012
B365C,2022-2023,2022-08-06,Newcastle,Nottingham,H,1.0702614379084967,0.035679419127063738,1.53,0.61068702290076338,0.62512446113008091,4,0.23358778625954199,0.22827917561717734,6,0.15572519083969466,0.14659636325274175
B365C,2022-2023,2022-08-06,Tottenham,Southampton,H,1.0529411764705883,0.027094916590159335,1.3600000000000001,0.69832402234636859,0.71268892090311586,5,0.18994413407821228,0.18416789459093247,8.5,0.11173184357541899,0.10314318450595167
B365C,2022-2023,2022-08-07,Leicester City,Brentford,D,1.0536984352773826,0.026958101038426996,1.8500000000000001,0.51299358758015523,0.52015888064180693,3.7999999999999998,0.24974687816402294,0.24640815961146495,4,0.2372595342558218,0.23343295974672809
B365C,2022-2023,2022-08-07,Manchester Utd,Brighton,A,1.0531691044393123,0.026713126044569602,1.8,0.52750840602309834,0.53517754107030624,3.75,0.25320403489108717,0.25002408515618924,4.3300000000000001,0.21928755908581452,0.21479837377350453
B365C,2022-2023,2022-08-07,West Ham,Manchester City,A,1.0591036414565824,0.030249958623524587,7.5,0.12589262099973555,0.11688924677064184,5.25,0.17984660142819361,0.17299891651410759,1.3600000000000001,0.69426077757207094,0.71011183671525058
B365C,2022-2023,2022-08-13,Arsenal,Leicester City,H,1.0579263543578525,0.029298243135573276,1.55,0.60983572974149514,0.62173307330506811,4.3300000000000001,0.2183014736949925,0.21330635629412009,5.5,0.17186279656351228,0.16496057040081172
B365C,2022-2023,2022-08-13,Aston Villa,Everton,H,1.0571428571428572,0.028766469931611027,1.75,0.54054054054054046,0.54932566007370831,3.5,0.27027027027027023,0.26754962801991861,5,0.1891891891891892,0.18312471190637306
B365C,2022-2023,2022-08-13,Brentford,Manchester Utd,H,1.0603174603174603,0.030348646659896339,4.5,0.20958083832335328,0.20406897345732758,3.75,0.25149700598802394,0.24780819589740813,1.75,0.53892215568862267,0.54812283064526424
