fold,train_seasons,test_season,train_matches,test_matches,train_home_wins,train_draws,train_away_wins,train_p_home,train_p_draw,train_p_away,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
1,2021-2022,2022-2023,380,380,163,88,129,0.42894736842105263,0.23157894736842105,0.33947368421052632,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235
2,2021-2022 + 2022-2023,2023-2024,760,380,347,175,238,0.45657894736842103,0.23026315789473684,0.31315789473684208,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171665,0.63691481994459831,0.23374047783933519
3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,522,257,361,0.45789473684210524,0.22543859649122808,0.31666666666666665,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441055,0.23583140966451213
4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,677,350,493,0.44539473684210529,0.23026315789473684,0.32434210526315788,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.08450287668523,0.65619373268698056,0.22776359072022156
