model,fold,test_season,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
goals_DC,1,2022-2023,380,0.52631578947368418,0.43461640739263396,0.37876743139901031,0.99798348265255155,0.59470598230752847,0.20779108146250158
goals_DC,2,2023-2024,380,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94144397656960632,0.5541215983653951,0.19288271843416613
goals_DC,3,2024-2025,380,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666308689341053,0.5838347235413579,0.20051496169776767
goals_DC,4,2025-2026,380,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453634800259535,0.62611691272567171,0.21280656883647109
E1a_sot,1,2022-2023,380,0.53157894736842104,0.44322563488897754,0.38559508124725522,0.98381265038208265,0.58453105139813299,0.20441092010346404
E1a_sot,2,2023-2024,380,0.58421052631578951,0.48405729771583433,0.42753842902689349,0.93667652474602658,0.55117931140805365,0.19177097946754132
E1a_sot,3,2024-2025,380,0.52631578947368418,0.45821114369501464,0.3957837236482728,0.98015430807957837,0.58343875729131656,0.20082824972440841
E1a_sot,4,2025-2026,380,0.46842105263157896,0.41910331384015592,0.35352889508899743,1.0243294221954458,0.61430283467056401,0.20766459331966655
E1a_sot_homeaway,1,2022-2023,380,0.5368421052631579,0.43687674511368169,0.38243046539989772,0.98232746688703121,0.58326506773729514,0.20399023279021467
E1a_sot_homeaway,2,2023-2024,380,0.58684210526315794,0.48596205962059624,0.42971576227390179,0.9380933325585038,0.55226992115547169,0.19224731610838175
E1a_sot_homeaway,3,2024-2025,380,0.52368421052631575,0.45905832518735745,0.39659532776093814,0.97922391454451285,0.58266211055388728,0.2004925817287779
E1a_sot_homeaway,4,2025-2026,380,0.48157894736842105,0.4276586528048516,0.36144855967078193,1.0254962491344397,0.61492734236738356,0.20805610848772865
