season,refits_matchweek,refits_per_date,rows_differing,n,matchweek_log_loss,per_date_log_loss,matchweek_rps,per_date_rps,log_loss_cost,rps_cost
2022-2023,38,117,200,380,0.99594239687323238,0.99798348265255155,0.20703963920802013,0.20779108146250158,-0.0020410857793191628,-0.00075144225448145474
2023-2024,38,120,200,380,0.94364547882556915,0.94144397656960632,0.19382891758885315,0.19288271843416613,0.0022015022559628283,0.00094619915468702187
2024-2025,38,109,198,380,0.97896739651709641,0.97666308689341053,0.20120005776907271,0.20051496169776767,0.0023043096236858851,0.00068509607130504135
2025-2026,38,114,221,380,1.0465525188975564,1.0453634800259535,0.21283391322762105,0.21280656883647109,0.0011890388716029321,2.7344391149958236e-05
