fold,test_season,selected_lambda,at_grid_floor,at_grid_ceiling,train_matches,rarest_class,design_width,epv,dc_log_loss,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,gap_vs_dc
2,2023-2024,10,False,False,380,87,2,43.5,0.94144397656960632,0.57894736842105265,0.46736353077816489,0.41471483392880776,0.9557841560914131,0.56527782786979863,0.19729085332848745,0.014340179521806773
3,2024-2025,9.9999999999999995e-07,True,False,760,169,2,84.5,0.97666308689341053,0.50789473684210529,0.44165852069077877,0.37960420531849109,0.98466023033511307,0.58672816415516904,0.20123961855846642,0.0079971434417025478
4,2025-2026,9.9999999999999995e-07,True,False,1140,262,2,131,1.0453634800259535,0.47368421052631576,0.41628763266190166,0.35062740588911662,1.0388541209229987,0.62357993225000596,0.21195077223434144,-0.0065093591029548037
