rung,fold,column,beta_home,beta_draw,beta_away,train_mean,train_sd,test_season,rel_elo_diff_sd_train,rel_elo_diff_sd_test,rel_elo_diff_range_train,train_rows_below_burn_in,train_rows,train_max_lambda_home,test_max_lambda_home,neutral_state_test_rows
D2,1,rel_elo_diff,0.021646446953550481,0.0012930631435781543,-0.022939510097128652,0.35834992638157487,74.425246016761562,2022-2023,74.425246016761562,101.53068739265842,460.16753124250135,380,380,47.261700001579278,4.640769930498327,3
D2,1,rel_attack_diff,0.011657041708913702,0.0019357357131602544,-0.013592777422073958,0.043393118506921735,1.3773262882270274,2022-2023,74.425246016761562,101.53068739265842,460.16753124250135,380,380,47.261700001579278,4.640769930498327,3
D2,1,rel_defence_diff,0.0015167415864288183,-0.0049531004896699741,0.0034363589032411481,0.40293289551803679,5.1085292698895941,2022-2023,74.425246016761562,101.53068739265842,460.16753124250135,380,380,47.261700001579278,4.640769930498327,3
D2,1,expected_total_goals,-0.0024981799791303429,-0.0034029280931238822,0.0059011080722542238,4.6364623878910978,29.872112213322492,2022-2023,74.425246016761562,101.53068739265842,460.16753124250135,380,380,47.261700001579278,4.640769930498327,3
D2,2,rel_elo_diff,0.029378883606322782,0.00054944887387036682,-0.02992833248019312,0.26691472596995591,89.015769523924732,2023-2024,89.015769523924703,109.95940625872134,572.27588983161809,380,760,47.261700001579278,4.6159413173140988,2
D2,2,rel_attack_diff,0.017476201777287294,0.0015086630152265433,-0.018984864792513829,0.020005592164798254,1.0583518542047008,2023-2024,89.015769523924703,109.95940625872134,572.27588983161809,380,760,47.261700001579278,4.6159413173140988,2
D2,2,rel_defence_diff,0.00039090721181804045,-0.0057843679148930401,0.0053934607030749803,0.20238164797271269,3.6275061859819289,2023-2024,89.015769523924703,109.95940625872134,572.27588983161809,380,760,47.261700001579278,4.6159413173140988,2
D2,2,expected_total_goals,-0.0025733992520151736,-0.0049119155311533888,0.0074853147831685819,3.7301700997443414,21.147001823881151,2023-2024,89.015769523924703,109.95940625872134,572.27588983161809,380,760,47.261700001579278,4.6159413173140988,2
D2,3,rel_elo_diff,0.066089615715996836,-0.00020966575116882681,-0.065879949964828002,0.39252099835910925,96.503506213086197,2024-2025,96.503506213086155,110.83274866057616,580.71395817532493,380,1140,47.261700001579278,4.096936045915629,1
D2,3,rel_attack_diff,0.041965662935257948,0.0018548314576491848,-0.043820494392907125,0.011920230812966597,0.91104893365456563,2024-2025,96.503506213086155,110.83274866057616,580.71395817532493,380,1140,47.261700001579278,4.096936045915629,1
D2,3,rel_defence_diff,-0.0026916500514732556,-0.011725503529723961,0.014417153581197223,0.13329929606854016,2.9748438076584494,2024-2025,96.503506213086155,110.83274866057616,580.71395817532493,380,1140,47.261700001579278,4.096936045915629,1
D2,3,expected_total_goals,-0.0027895943538041295,-0.0054327244290614208,0.0082223187828655443,3.5170722949792355,17.27248403576974,2024-2025,96.503506213086155,110.83274866057616,580.71395817532493,380,1140,47.261700001579278,4.096936045915629,1
D2,4,rel_elo_diff,0.080432139806469863,0.0041725987377809973,-0.084604738544250824,0.53837099385785392,100.27827977255359,2025-2026,100.27827977255365,96.596997912654558,655.35973590047001,380,1520,47.261700001579278,3.0836515123963695,1
D2,4,rel_attack_diff,0.051488726444284878,0.00091591509157008355,-0.0524046415358548,0.010017417958658776,0.8225114992125353,2025-2026,100.27827977255365,96.596997912654558,655.35973590047001,380,1520,47.261700001579278,3.0836515123963695,1
D2,4,rel_defence_diff,-0.0072913999506698463,-0.010801012544253159,0.018092412494922973,0.098711991631423204,2.5859207999989073,2025-2026,100.27827977255365,96.596997912654558,655.35973590047001,380,1520,47.261700001579278,3.0836515123963695,1
D2,4,expected_total_goals,-0.0011593649118123489,-0.0038743044004486671,0.0050336693122610271,3.3943648932059007,14.962386943816286,2025-2026,100.27827977255365,96.596997912654558,655.35973590047001,380,1520,47.261700001579278,3.0836515123963695,1
