rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap,source
B0,1,2022-2023,0.01,lam=0.01,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,0.029999999999999999,lam=0.03,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,0.10000000000000001,lam=0.1,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,0.29999999999999999,lam=0.3,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,1,lam=1,False,True,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,3,lam=3,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,10,lam=10,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,30,lam=30,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,100,lam=100,True,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_4
B0,1,2022-2023,300,lam=300,False,False,0,380,380,5,2.3314683517128287e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,instrument_5
