arm,arm_label,matches,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
A_static,"static, N_train, stale",1520,0.49210526315789471,0.42132942157081194,0.36449852452163928,1.0262683424524206,0.6150475786788826,0.21621602752970448
B_walkforward,"walk-forward, N_train+k, fresh",1520,0.52631578947368418,0.45106465898754067,0.3917350023174469,0.99036350653538052,0.58969480423498832,0.20349883260772664
C_rolling,"rolling fixed-size, N_train, fresh",1520,0.52763157894736845,0.4528678659725951,0.39356175075556593,0.99070042625390908,0.58987844990146754,0.20354840698446511
D_static_half,"static half-window, N_train/2, stale",1520,0.48552631578947369,0.41538633130728186,0.36045366362625897,1.0344995104896297,0.61984244429338176,0.21899079169755761
