fold,test_season,cutoff,window_matches,c_pooled,c_home,c_away,rho,goals_home_multiplier,sot_home_multiplier,goals_degenerate,sot_degenerate,goals_converged,sot_converged
1,2022-2023,2022-08-05,380,0.32221903812714231,0.32549032543860196,0.31854526489810797,-0.014992741164636749,1.141282944711639,1.1181913852859613,0,0,True,True
1,2022-2023,2022-08-06,381,0.32292253908122059,0.32427261124395917,0.32140705709113276,-0.014919255107231409,1.1294320918426044,1.1197287493989203,0,0,True,True
1,2022-2023,2022-08-07,387,0.32311947770786548,0.32715515421502378,0.31851120707569702,-0.003782504434404586,1.1410333054417388,1.1238905978916034,2,1,True,True
1,2022-2023,2022-08-13,390,0.325492211727751,0.32610571983118425,0.32479076821437325,-0.0063448949498275788,1.1287032866956745,1.1338094301808728,2,1,True,True
1,2022-2023,2022-08-14,397,0.32774597125985805,0.3328219870418222,0.32179890603861228,-0.043941641189833847,1.1906844053149876,1.1505651354424749,1,1,True,True
1,2022-2023,2022-08-15,399,0.32662802756484222,0.33282977439795469,0.31939529510290415,-0.026306134358623591,1.2106154329732344,1.1637819172181754,0,0,True,True
1,2022-2023,2022-08-20,400,0.32636710236510036,0.33226931564423151,0.31947785647087923,-0.041968294936508936,1.2009703042425006,1.1596798671945501,0,0,True,True
1,2022-2023,2022-08-21,406,0.32524761315600598,0.32956771957102826,0.32020100308360533,-0.064397979658938606,1.1856275942089891,1.1530249904049987,0,0,True,True
1,2022-2023,2022-08-22,409,0.32633340395847799,0.33128442437176719,0.32057339005830859,-0.061767744275455332,1.209052039900731,1.1662042715299057,0,0,True,True
1,2022-2023,2022-08-27,410,0.32638837704529577,0.33238097648104925,0.31943711337634711,-0.059962883792225204,1.2261332236892128,1.1702215318957152,0,0,True,True
1,2022-2023,2022-08-28,417,0.32849210673202545,0.34028282288810724,0.3145822473778932,-0.038032419310224906,1.2489046002082835,1.1654373669383231,0,0,True,True
1,2022-2023,2022-08-30,420,0.32635174065655204,0.33759894598398599,0.31328057750437355,-0.032902232187827334,1.2355492691894676,1.161634909513779,0,0,True,True
1,2022-2023,2022-08-31,424,0.32598556548242924,0.33696382896260579,0.3131503977005014,-0.065070751136545091,1.2460621677713291,1.1696181945660249,0,0,True,True
1,2022-2023,2022-09-01,429,0.32571014326415704,0.33827766084535188,0.31071552856518159,-0.085488087612418065,1.2677268351835176,1.1751716039082365,0,0,True,True
1,2022-2023,2022-09-03,430,0.32546643498231936,0.3372766236805832,0.31138345641342241,-0.057348256609751472,1.2611438745009715,1.1763431819600993,0,0,True,True
1,2022-2023,2022-09-04,438,0.32334350075887497,0.33849689833469693,0.30548023009822706,-0.10023758239849119,1.2896419131895624,1.1747621709469873,0,0,True,True
1,2022-2023,2022-09-16,440,0.32580672915333386,0.34163483629566088,0.30691717114484801,-0.10229737670177981,1.3117804778649671,1.1904141570691897,0,0,True,True
1,2022-2023,2022-09-17,442,0.32697557376617575,0.34305708138938562,0.30788496770536466,-0.091536499219422376,1.3177035328958826,1.1914421156263635,0,0,True,True
1,2022-2023,2022-09-18,445,0.32795170322516493,0.34376289673944133,0.30921440005534978,-0.10271460209550218,1.3042237037461426,1.183742675381833,0,0,True,True
1,2022-2023,2022-10-01,447,0.32722546344078929,0.34321326560597798,0.30852647352803825,-0.089649252159779771,1.2928510488163893,1.176231447635868,0,0,True,True
1,2022-2023,2022-10-02,454,0.32809976990908912,0.34323931839647442,0.31062966039949663,-0.10877234893102911,1.2731533169627154,1.1595132253419169,0,0,True,True
1,2022-2023,2022-10-03,456,0.32847570895826855,0.34657920580829549,0.30778142364575206,-0.12286059505554403,1.2749940236585362,1.1446090002473646,0,0,True,True
1,2022-2023,2022-10-08,457,0.3290476470019213,0.34893294409139619,0.30619453918222284,-0.12080474647949298,1.2891209428104431,1.1440396829672723,0,0,True,True
1,2022-2023,2022-10-09,462,0.33158615602406039,0.35467069230359849,0.30449316312902103,-0.10841226274899515,1.3271092076693449,1.1585110139541779,0,0,True,True
1,2022-2023,2022-10-10,466,0.33423889583681132,0.35639577761901742,0.30797951886310043,-0.10515726342621774,1.3355597249907905,1.1675925625206818,0,0,True,True
1,2022-2023,2022-10-14,467,0.33449650934579161,0.35629587377857763,0.30863733417732681,-0.11931979664799924,1.3403173821040444,1.1756201811808455,0,0,True,True
1,2022-2023,2022-10-15,468,0.33342371611990879,0.35766955111221488,0.30488574693373022,-0.11881931002967298,1.3549244199618042,1.1708588898156842,0,0,True,True
1,2022-2023,2022-10-16,472,0.3318502235246184,0.3555897820975743,0.30360559908306928,-0.13560499288102973,1.3565349035984566,1.1752015827055231,0,0,True,True
1,2022-2023,2022-10-18,477,0.32552498693881787,0.3468873716159388,0.3001370962281325,-0.12683928783807558,1.3618916394334977,1.1878747359733843,0,0,True,True
1,2022-2023,2022-10-19,479,0.32408279209871527,0.34433658629252056,0.29979931236324114,-0.14189998168206422,1.353017747907624,1.188040141494497,0,0,True,True
1,2022-2023,2022-10-20,484,0.31765215055585266,0.336206492986384,0.2949934306588291,-0.12932012431899861,1.3662366227981422,1.2094177798676098,0,0,True,True
1,2022-2023,2022-10-22,486,0.31735523700966811,0.3388724738931253,0.29110548929025598,-0.13176395314737083,1.3886384768929367,1.2117315142184997,0,0,True,True
1,2022-2023,2022-10-23,490,0.31631230659515697,0.34095447797878353,0.28631987040130868,-0.10651068863619589,1.427075763645516,1.2213616838275367,0,0,True,True
1,2022-2023,2022-10-24,495,0.31809049359974623,0.33851598997298987,0.29307976763440768,-0.11711792518701054,1.4130365289403997,1.2306821730163382,0,0,True,True
1,2022-2023,2022-10-29,496,0.31792910107560207,0.33935148209683824,0.29168662017594288,-0.11733349681353906,1.4188621738218843,1.2277500747373002,0,0,True,True
1,2022-2023,2022-10-30,504,0.31397613144738395,0.33564363425549792,0.28737737174974615,-0.11806687919238718,1.4324561384922037,1.2338890812858003,0,0,True,True
1,2022-2023,2022-11-05,506,0.31378390900917541,0.33768091000594042,0.2842864310799661,-0.10663494203277729,1.4507424751266109,1.2295711400128686,0,0,True,True
1,2022-2023,2022-11-06,511,0.31766902798619057,0.34048760538716211,0.2898209549373772,-0.10705731337613196,1.4138251151922774,1.2121012081445113,0,0,True,True
1,2022-2023,2022-11-12,516,0.32032998382204969,0.34074975974342425,0.29567288842389705,-0.08771630209399213,1.3848772248080243,1.2067516806374905,0,0,True,True
1,2022-2023,2022-11-13,524,0.31943092411142648,0.3387343256714328,0.29603189199579155,-0.057550025903341101,1.367577935152235,1.2015959255343753,0,0,True,True
1,2022-2023,2022-12-26,526,0.31917295176275223,0.33746096933699932,0.29712079441123407,-0.057601600501100921,1.3497527215816632,1.197665148780126,0,0,True,True
1,2022-2023,2022-12-27,533,0.32057452977455542,0.33523629051168019,0.30358027129562637,-0.057284851185375074,1.2824077384569494,1.1637013953745889,0,0,True,True
1,2022-2023,2022-12-28,535,0.3194226236964226,0.33620878700297346,0.29982089190834021,-0.055653797080153784,1.2978926639537411,1.1632977451506681,0,0,True,True
1,2022-2023,2022-12-30,536,0.32007909064023082,0.33721939964145042,0.3003494613855443,-0.055843541663562375,1.297734862731887,1.1560664082107857,0,0,True,True
