rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B3,1,3,10000,lam=10000,285,95,2022-03-18,2022-03-19,1.0279038710632906,0.22546712039803457,0.58947368421052626,35
B3,2,1,100,lam=100,190,190,2022-01-02,2022-01-03,1.0742021318571922,0.23353539050577571,0.53157894736842104,35
B3,2,2,100,lam=100,380,189,2022-05-22,2022-08-05,1.0619734509626355,0.23020984440367698,0.48148148148148145,35
B3,2,3,100,lam=100,569,191,2023-01-19,2023-01-21,1.0082017469602449,0.20575150473803863,0.52879581151832455,4
B3,2,1,300,lam=300,190,190,2022-01-02,2022-01-03,0.99460046540548375,0.21429352061932996,0.54210526315789476,35
B3,2,2,300,lam=300,380,189,2022-05-22,2022-08-05,1.0330561123069326,0.22310762122568034,0.48677248677248675,35
B3,2,3,300,lam=300,569,191,2023-01-19,2023-01-21,0.98545882244612648,0.20117639295201944,0.51832460732984298,4
B3,2,1,1000,lam=1000,190,190,2022-01-02,2022-01-03,0.99259641871057147,0.21423220070358501,0.54736842105263162,35
B3,2,2,1000,lam=1000,380,189,2022-05-22,2022-08-05,1.0202832863600055,0.21972738985684262,0.49735449735449733,35
B3,2,3,1000,lam=1000,569,191,2023-01-19,2023-01-21,0.97567224895062832,0.19919825493780718,0.53926701570680624,4
B3,2,1,3000,lam=3000,190,190,2022-01-02,2022-01-03,1.0203243582553572,0.22414866033645761,0.51578947368421058,35
B3,2,2,3000,lam=3000,380,189,2022-05-22,2022-08-05,1.0251521688485727,0.22144694927119882,0.49206349206349204,35
B3,2,3,3000,lam=3000,569,191,2023-01-19,2023-01-21,0.98478696606856153,0.20234650848161667,0.56544502617801051,4
B3,2,1,10000,lam=10000,190,190,2022-01-02,2022-01-03,1.0450592046199356,0.23319970803573181,0.44210526315789472,35
B3,2,2,10000,lam=10000,380,189,2022-05-22,2022-08-05,1.0392546992408296,0.22646444226891732,0.47619047619047616,35
B3,2,3,10000,lam=10000,569,191,2023-01-19,2023-01-21,1.0109239743975182,0.21164061461518044,0.53403141361256545,4
B3,3,1,100,lam=100,285,284,2022-03-18,2022-03-19,1.0148724488515684,0.21609903105555317,0.52464788732394363,35
B3,3,2,100,lam=100,569,286,2023-01-19,2023-01-21,1.0049364176209292,0.20377886967505426,0.53846153846153844,4
B3,3,3,100,lam=100,855,285,2023-10-28,2023-10-29,0.97193228461249159,0.20079427332204419,0.57543859649122808,4
B3,3,1,300,lam=300,285,284,2022-03-18,2022-03-19,0.99898081322328658,0.21249583082495188,0.51760563380281688,35
