rung,description,features_total,design_columns,lambda_selected_min,lambda_selected_max,lambda_selected_median,lambda_fold1,log_loss_fold1,lambda_fold2,log_loss_fold2,lambda_fold3,log_loss_fold3,lambda_fold4,log_loss_fold4,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,log_loss_mean,brier_score_mean,rps_mean,train_log_loss_mean,generalisation_gap_mean,coef_l2_norm_mean,frozen_log_loss_mean,frozen_generalisation_gap_mean,log_loss_mean_vs_frozen,log_loss_delta_mean
B0,base rate,0,0,100,100,100,100,1.0546504846060354,100,1.0537563827171668,100,1.0826402716069496,100,1.0845028766852298,0.44473684210526315,0.33333333333333331,0.20502817752753366,1.0688875039038455,0.64666510368574937,0.23185118257540782,1.0623750719413918,0.0065124319624535465,0,1.0688875039038455,0.006512431962453491,0,
B1,+ Phase 1 results-only features,86,88,100,100,100,100,1.0011196832756624,100,0.96799470988445513,100,1.0110872570089848,100,1.0503002658247012,0.51644736842105254,0.43808628415684409,0.38308906749605387,1.0076254789984509,0.60220612505816384,0.20770061152274097,0.94608613159787325,0.061539347400577704,0.41874390601888944,1.0668520210173245,0.15004758371222834,-0.059226542018873563,-0.061262024905394563
B2,+ Block C context,98,108,100,100,100,100,1.0199964459428035,100,0.97629512149069375,100,1.0176515215555422,100,1.0670222318825602,0.50921052631578956,0.43269871287486272,0.3847190898444775,1.0202413302178999,0.609820494767775,0.21068426578760419,0.93053627000316297,0.089705060214736954,0.47384785688604669,1.1015605293791229,0.20287387582509131,-0.081319199161222988,0.01261585121944897
B3,"+ prior_attack, prior_defence",104,114,100,100,100,100,1.0199964459428035,100,0.97715393463174294,100,1.0121668015216585,100,1.0679611469648036,0.5111842105263158,0.43592169646042167,0.39018320326137435,1.0193195822652521,0.60903319414423518,0.21017909579067851,0.92915558263094178,0.090163999634310377,0.48424543282217491,1.1134573486161621,0.21986681302651703,-0.094137766350909979,-0.00092174795264776677
B4,+ prior_venue_split,107,117,100,100,100,100,1.0199964459428035,100,0.98154993797956658,100,1.01512866610756,100,1.0664768773742239,0.51315789473684215,0.43937711575873301,0.39647517868123672,1.0207879818510386,0.60984294212184564,0.21046031875407156,0.92828786684311637,0.092500115007922074,0.48817211091360635,1.12090107972145,0.22846057521012478,-0.10011309787041145,0.001468399585786484
B5,"+ prior_finishing, keeping, control",116,126,100,100,100,100,1.0199964459428035,100,0.98992685179154893,100,1.0186755628412139,100,1.0726031277906389,0.50789473684210518,0.43644462530526168,0.39558494519107146,1.0253004970915511,0.61221957345873157,0.21124772358331256,0.92599127610311915,0.099309220988432145,0.50108536912242718,1.159716723039282,0.27383126713820749,-0.13441622594773084,0.004512515240512549
B6,"+ prior_discipline, rotation",122,132,100,100,100,100,1.0199964459428035,100,0.99112909552925821,100,1.0313561797116235,100,1.0739995635850954,0.50921052631578945,0.43811849689840765,0.40094307393599077,1.0291203211921951,0.61410399249502656,0.21167400500733524,0.92316440414046264,0.10595591705173252,0.51497242566025891,1.1806175597481583,0.29966441000941835,-0.1514972385559632,0.0038198241006439648
