fold,test_season,cutoff,window_matches,c_decayed,c_flat,c_e1a_stored,e1a_window_matches
1,2022-2023,2022-08-05,380,0.32221903812714231,0.3195107398568019,0.32221903812714231,380
2,2023-2024,2023-08-11,760,0.32872034984031562,0.32178587427206212,0.32872034984031562,760
3,2024-2025,2024-08-16,1140,0.33132747924477468,0.32554800421173541,0.33132747924477468,1140
4,2025-2026,2025-08-15,1520,0.32478442930464319,0.32477526069759077,0.32478442930464319,1520
