rung,description,features_added,features_total,accuracy_mean,accuracy_fold4,accuracy_delta_mean,accuracy_delta_fold4,balanced_accuracy_mean,balanced_accuracy_fold4,balanced_accuracy_delta_mean,balanced_accuracy_delta_fold4,macro_f1_mean,macro_f1_fold4,macro_f1_delta_mean,macro_f1_delta_fold4,log_loss_mean,log_loss_fold4,log_loss_delta_mean,log_loss_delta_fold4,brier_score_mean,brier_score_fold4,brier_score_delta_mean,brier_score_delta_fold4,rps_mean,rps_fold4,rps_delta_mean,rps_delta_fold4,train_log_loss_mean,generalisation_gap_mean,design_columns_fold4,log_loss_fold1,rps_fold1,log_loss_fold2,rps_fold2,log_loss_fold3,rps_fold3
B0,base rate,0,0,0.44473684210526315,0.4263157894736842,,,0.33333333333333331,0.33333333333333331,,,0.20502817752753366,0.19926199261992619,,,1.0688875039038455,1.08450287668523,,,0.64666510368574948,0.65619373268698056,,,0.23185118257540782,0.22776359072022162,,,1.062375071941392,0.006512431962453491,0,1.0546504846060354,0.23006925207756235,1.0537563827171665,0.23374047783933521,1.0826402716069496,0.23583140966451213
B1,+ Phase 1 results-only features,86,86,0.4907894736842105,0.48684210526315791,0.046052631578947345,0.060526315789473706,0.42345794445323287,0.43060345545725665,0.090124611119899556,0.09727012212392333,0.38916471826223081,0.37224319789044708,0.18413654073469715,0.17298120527052088,1.0668520210173245,1.0764417525508021,-0.0020354828865210006,-0.0080611241344279438,0.63020798098362762,0.64563173740436097,-0.016457122702121851,-0.010561995282619585,0.21694597714503366,0.21867726421582587,-0.014905205430374158,-0.0090863265043957531,0.91680443730509609,0.15004758371222834,88,1.1061351228428846,0.22295963820990908,1.0476573676145506,0.21194442345855519,1.0371738410610605,0.21420258269584447
B2,+ Block C context,12,98,0.47697368421052633,0.46052631578947367,-0.01381578947368417,-0.026315789473684237,0.415467325019448,0.40801344529414701,-0.0079906194337848735,-0.022590010163109631,0.38945638714927744,0.35448937409721726,0.00029166888704662552,-0.017753823793229817,1.1015605293791229,1.0986421496690832,0.034708508361798396,0.022200397118281145,0.64815427357381283,0.65912886415034944,0.017946292590185209,0.013497126745988464,0.22417221269433088,0.22263071585630997,0.0072262355492972163,0.0039534516404841069,0.89868665355403177,0.20287387582509131,108,1.1841334813800015,0.24272669037114961,1.0715608896349988,0.21651886284249147,1.0519055968324085,0.21481258170737241
B3,"+ prior_attack, prior_defence",6,104,0.47697368421052633,0.4631578947368421,0,0.0026315789473684292,0.42349118703649929,0.41524633045100878,0.0080238620170512975,0.007232885156861768,0.40577192536639012,0.36983355787083522,0.016315538217112679,0.015344183773617959,1.1134573486161621,1.1172280584097396,0.011896819237039225,0.018585908740656354,0.65303631101920689,0.66817189626463058,0.0048820374453940607,0.0090430321142811465,0.22464415048252431,0.22500323964367105,0.00047193778819343279,0.0023725237873610805,0.89359053558964507,0.21986681302651703,114,1.1841334813800015,0.24272669037114966,1.1149520662707553,0.22017535787816231,1.0375157884041522,0.21067131403711414
B4,+ prior_venue_split,3,107,0.47302631578947368,0.46578947368421053,-0.0039473684210526438,0.0026315789473684292,0.41973553945367464,0.41817030705919594,-0.0037556475828246505,0.0029239766081871621,0.40166335571657358,0.37284530566973312,-0.0041085696498165403,0.0030117477988979013,1.12090107972145,1.1188278230186774,0.007443731105287954,0.0015997646089378481,0.65642224005406336,0.66863561498342228,0.0033859290348564608,0.00046371871879169468,0.22584801788228592,0.22506929410792628,0.0012038673997616101,6.605446425522743e-05,0.89244050451132528,0.22846057521012478,117,1.1841334813800015,0.24272669037114966,1.1382084106989969,0.2242205964755912,1.0424346037881242,0.21137549057447655
B5,"+ prior_finishing, keeping, control",9,116,0.45197368421052631,0.43947368421052629,-0.021052631578947378,-0.026315789473684237,0.40503144106328942,0.39527623665050565,-0.014704098390385223,-0.022894070408690292,0.39020393267012898,0.35902861700623823,-0.011459423046444595,-0.013816688663494892,1.159716723039282,1.1187065762356088,0.038815643317831938,-0.00012124678306868475,0.67471393232202059,0.6674060705172532,0.018291692267957238,-0.0012295444661690746,0.23308093263070656,0.22398774662359491,0.007232914748420638,-0.0010815474843313688,0.88588545590107426,0.27383126713820749,126,1.1841334813800015,0.24272669037114966,1.2255045320414151,0.23935160199909405,1.1105223025001021,0.22625769152898773
B6,"+ prior_discipline, rotation",6,122,0.45000000000000001,0.44210526315789472,-0.0019736842105262942,0.0026315789473684292,0.40669663782836385,0.39962887989203777,0.0016651967650744282,0.004352643241532117,0.39358972280115623,0.36897655568267762,0.0033857901310272442,0.009947938676439394,1.1806175597481583,1.1267001328574371,0.020900836708876325,0.0079935566218283238,0.6846885855576359,0.67129358712018361,0.009974653235615305,0.0038875166029304076,0.23563015725253508,0.2238963715959468,0.0025492246218285219,-9.1375027648110674e-05,0.88095314973874006,0.29966441000941835,132,1.1841334813800015,0.24272669037114961,1.2690465293892377,0.2453937718027201,1.1425900953659573,0.23050379524032383
