rung,fold,test_season,train_matches,test_matches,design_width,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,rarest_class,epv,g6_status,newton_iterations,gradient_norm,imputed_cells,constant_columns,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
D2_rescaled,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,7,9.1323837381196427e-11,9765,29,0.5368421052631579,0.43438372556840843,0.37992137650382252,0.99264383399144629,0.59126579905157695,0.20762578612240676
D2_rescaled,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,7,8.3851903198706168e-10,11471,4,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.9600651588781518,0.56785261444207036,0.19904040875358281
D2_rescaled,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,8,1.1238362671028845e-12,13173,4,0.50789473684210529,0.43903551645487132,0.37577425579703272,1.0072052986068598,0.60353057587454673,0.208072585580308
D2_rescaled,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,7,5.487310605900575e-11,14875,2,0.48421052631578948,0.42451808533679875,0.35827369334200826,1.041217396455252,0.62516632199202016,0.21109137148694915
E1c,1,2022-2023,380,380,98,1000,lam=1000,False,False,88,0.89795918367346939,PASS,7,1.1158629575902523e-10,10065,29,0.53421052631578947,0.43257213136550993,0.3781095505986336,0.99350587832692228,0.59197687839071411,0.20789653304862563
E1c,2,2023-2024,760,380,98,1000,lam=1000,False,False,175,1.7857142857142858,PASS,7,9.881622187180028e-10,11922,4,0.56842105263157894,0.46457607433217191,0.4116438356164383,0.96017245388289807,0.56794802980654568,0.19913604880325689
E1c,3,2024-2025,1140,380,98,300,lam=300,False,False,257,2.6224489795918369,PASS,8,7.2257477778947532e-13,13774,4,0.51315789473684215,0.4444607363962203,0.38118304903716266,1.0056829994758851,0.60217504305518843,0.20752475516132907
E1c,4,2025-2026,1520,380,98,300,lam=300,False,False,350,3.5714285714285716,PASS,7,4.7488457610711521e-11,15626,2,0.48684210526315791,0.42657569850552307,0.35984602038603342,1.038882543710457,0.62366257076022236,0.21090467140036107
