arm,fold,team,parameter,refits,mean_abs_change,mean_level,relative_change
goals,1,Arsenal,attack,117,0.026379024525356773,1.6840100709457881,0.015664410195920953
goals,1,Arsenal,defence,117,0.019090588025360431,0.90279057985828548,0.021146197635732038
goals,1,Aston Villa,attack,117,0.015508555792975614,1.0404955606742872,0.01490497064968291
goals,1,Aston Villa,defence,117,0.020840843517206459,1.0596313395937593,0.019668013523643429
goals,1,Brentford,attack,117,0.021328124613292112,1.1881927789392752,0.017950054058005788
goals,1,Brentford,defence,117,0.023454809143890601,1.0849299598639106,0.021618731173054417
goals,1,Brighton,attack,117,0.025206366665422707,1.3212264216610472,0.019078006806534521
goals,1,Brighton,defence,117,0.022780124280018996,0.98545163108146883,0.023116430641064847
goals,1,Burnley,attack,117,0.0051342371883684786,0.71311868287964686,0.0071996952423626021
goals,1,Burnley,defence,117,0.0098398091136027207,1.0982303418095993,0.0089596951923485036
goals,1,Chelsea,attack,117,0.020050184640653931,1.0375202865704176,0.019325101301807753
goals,1,Chelsea,defence,117,0.018631820856524411,0.85961458140961822,0.021674621696122779
goals,1,Crystal Palace,attack,117,0.019692013436459335,0.85056883006096917,0.023151581318877866
goals,1,Crystal Palace,defence,117,0.019139834369328521,0.9552569670631671,0.020036320099472128
goals,1,Everton,attack,117,0.01381864700630047,0.72476547953798431,0.01906637029002738
goals,1,Everton,defence,117,0.021738960765492834,1.1916612243174307,0.018242567872378872
goals,1,Leeds United,attack,117,0.01818300886004626,0.99724276087055463,0.018233282379681744
goals,1,Leeds United,defence,117,0.027575454116665024,1.4757539201916514,0.018685672278670882
goals,1,Leicester City,attack,117,0.02274206054984703,1.1975604080002278,0.018990324327624819
goals,1,Leicester City,defence,117,0.024037978815960325,1.3196685464685791,0.018215163860869257
goals,1,Liverpool,attack,117,0.029138146672154221,1.6204132486074811,0.017981923251488095
goals,1,Liverpool,defence,117,0.018573158995748858,0.8113887593623047,0.02289057961604752
goals,1,Manchester City,attack,117,0.032344346280279886,2.1057884016248254,0.015359732371649023
goals,1,Manchester City,defence,117,0.016384393827729101,0.73858050278278398,0.022183626247913209
goals,1,Manchester Utd,attack,117,0.018564187509291591,1.2017116606431273,0.015448121306700546
goals,1,Manchester Utd,defence,117,0.023585178124072768,1.0357487988457057,0.022771137316651837
goals,1,Newcastle,attack,117,0.026449589726694665,1.218668283169245,0.021703682693628799
goals,1,Newcastle,defence,117,0.015745281969359828,0.76077548581645571,0.020696358206734499
goals,1,Norwich City,attack,117,0.0040176453268374792,0.51133774780481023,0.0078571264180776063
goals,1,Norwich City,defence,117,0.01669724715624268,1.8101272083173887,0.0092243501338028482
goals,1,Southampton,attack,117,0.015576962573698332,0.75287236274095548,0.02069004434827152
goals,1,Southampton,defence,117,0.023387846783799418,1.4071626086604918,0.016620571524468525
goals,1,Tottenham,attack,117,0.021134693064399891,1.5467589810383955,0.013663856698741393
goals,1,Tottenham,defence,117,0.021249142669467799,1.0273616238491159,0.020683216285474731
goals,1,Watford,attack,117,0.0046810521002249679,0.62349787823372038,0.0075077273935329402
goals,1,Watford,defence,117,0.015911348681227545,1.6695583368415996,0.0095302741630028734
goals,1,West Ham,attack,117,0.017273588702153741,0.92474481094363536,0.018679303195578128
goals,1,West Ham,defence,117,0.019773631942133749,1.0645143179935306,0.018575261607945721
goals,1,Wolves,attack,117,0.013430692238624618,0.69862910657100596,0.019224352538852563
goals,1,Wolves,defence,117,0.020739327252243964,1.0645357419345272,0.019482039386066484
sot,1,Arsenal,attack,117,0.011258991698647006,1.291925281842516,0.0087148938540700088
sot,1,Arsenal,defence,117,0.030635866158638447,2.9861405113312722,0.010259351843085393
sot,1,Aston Villa,attack,117,0.0096804569703184372,1.0302686047946936,0.0093960515978719038
sot,1,Aston Villa,defence,117,0.040120044898724838,3.6974281078638707,0.010850797832524605
sot,1,Brentford,attack,117,0.010485168196679662,1.0295477611082544,0.010184246513627426
sot,1,Brentford,defence,117,0.046070837159744624,4.6371863743696577,0.0099350842170985911
sot,1,Brighton,attack,117,0.013143689066446525,1.2736139748207331,0.010319994383146243
sot,1,Brighton,defence,117,0.036660619507451302,3.0692781974631345,0.011944378172611589
sot,1,Burnley,attack,117,0.0026414842022934649,0.8176766887432656,0.0032304751237965633
sot,1,Burnley,defence,117,0.018060086372110807,4.4132314971659996,0.004092259013312189
sot,1,Chelsea,attack,117,0.011086311448910261,1.0881720729285327,0.010188013205553357
sot,1,Chelsea,defence,117,0.043069199043955175,3.4170457293394572,0.012604220854919844
sot,1,Crystal Palace,attack,117,0.012072935699841761,0.90312785230819481,0.01336791426483638
