rung,fold,column,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale
E1c,1,home_finishing_last5,0.0056770361146066513,0.0059816788551150775,-0.011658714969721729,0.01428057616896085,-0.012216172441570389,0.53868447095275063
E1c,1,away_finishing_last5,-0.0043708108736026027,-0.00037828282653792786,0.0047490937001405248,0.0064653674731116944,-0.0066685771237146307,0.6383414416699712
E1c,1,rel_finishing_diff,0.0074996037570835604,0.0042205487040796906,-0.011720152461163237,0.014540256586101955,0.078901943678716516,0.79237607219561423
E1c,1,home_finishing_available,-0.0011167101547630354,0.0014144459649925178,-0.00029773581022948732,0.0018265666071423476,0,1
E1c,1,away_finishing_available,-0.0011167101547630354,0.0014144459649925178,-0.00029773581022948732,0.0018265666071423476,0,1
E1c,1,rel_finishing_available,-0.0011167101547630354,0.0014144459649925178,-0.00029773581022948732,0.0018265666071423476,0,1
E1c,2,home_finishing_last5,0.0036232810639105781,0.0056915918517907284,-0.0093148729157012996,0.011501706000030136,-0.0041516851437159857,0.58893735566583416
E1c,2,away_finishing_last5,0.0003610709000836791,0.0045807155923974201,-0.0049417864924810933,0.0067479316290689154,0,0.64280292233046143
E1c,2,rel_finishing_diff,0.0023897899603562162,0.00050960756403815334,-0.0028993975243943792,0.0037917412792025408,0.041175405271463406,0.83210517416937801
E1c,2,home_finishing_available,-0.0019142735949817869,-0.00036519893766219399,0.0022794725326439917,0.0029989679370731031,0,1
E1c,2,away_finishing_available,-0.0019142735949817869,-0.00036519893766219399,0.0022794725326439917,0.0029989679370731031,0,1
E1c,2,rel_finishing_available,-0.0019142735949817869,-0.00036519893766219399,0.0022794725326439917,0.0029989679370731031,0,1
E1c,3,home_finishing_last5,-0.017725074559534801,0.035300440448960406,-0.017575365889425563,0.043234162998476697,-0.0024070249062704274,0.58880310309882455
E1c,3,away_finishing_last5,0.021595090794472704,0.0079324714244499092,-0.029527562218922696,0.037431924608729183,0.0012035124531352137,0.63792578867684169
E1c,3,rel_finishing_diff,-0.031007652290348842,0.020659512428055769,0.010348139862293198,0.038670065333973103,0.0024070249062704274,0.76294951437064651
E1c,3,home_finishing_available,0.00059720414532156289,-0.00016144548856765963,-0.00043575865675390762,0.00075670538778581365,0,1
E1c,3,away_finishing_available,-0.0014465514611276037,0.0014616295355355056,-1.507807440788909e-05,0.0020564774195619053,0,1
E1c,3,rel_finishing_available,0.00059720414532156289,-0.00016144548856765963,-0.00043575865675390762,0.00075670538778581365,0,1
E1c,4,home_finishing_last5,-0.023335962580068339,0.027709628413179085,-0.0043736658331108126,0.036489993274246187,-0.0051293424172141056,0.5607288159691235
E1c,4,away_finishing_last5,0.029160150594008491,-0.0059722721885906733,-0.023187878405417771,0.037731420894319724,0.0051293424172141056,0.58766513212563221
E1c,4,rel_finishing_diff,-0.037465008930319843,0.024153690471986157,0.013311318458333747,0.046521165684714275,0.035905396920498767,0.80181147927187413
E1c,4,home_finishing_available,0.0079524035173068833,-0.0070454520256086305,-0.00090695149169827598,0.010663098843934692,0,1
E1c,4,away_finishing_available,0.0060883739051386197,-0.0054232212806015322,-0.0006651526245370935,0.0081805900692474981,0,1
E1c,4,rel_finishing_available,0.0079524035173068833,-0.0070454520256086305,-0.00090695149169827598,0.010663098843934692,0,1
