match_id,home_finishing_last5,home_sot_window,home_match_number,away_finishing_last5,away_sot_window,away_match_number,rel_finishing_diff,rel_sot_window_diff,home_finishing_available,away_finishing_available,rel_finishing_available,c_used
0,,,1,,,1,,,False,False,False,0.32478442930464319
1,,,1,,,1,,,False,False,False,0.32478442930464319
2,,,1,,,1,,,False,False,False,0.32478442930464319
3,,,1,,,1,,,False,False,False,0.32478442930464319
4,,,1,,,1,,,False,False,False,0.32478442930464319
5,,,1,,,1,,,False,False,False,0.32478442930464319
6,,,1,,,1,,,False,False,False,0.32478442930464319
7,,,1,,,1,,,False,False,False,0.32478442930464319
8,,,1,,,1,,,False,False,False,0.32478442930464319
9,,,1,,,1,,,False,False,False,0.32478442930464319
10,,,2,,,2,,,False,False,False,0.32478442930464319
11,,,2,,,2,,,False,False,False,0.32478442930464319
12,,,2,,,2,,,False,False,False,0.32478442930464319
13,,,2,,,2,,,False,False,False,0.32478442930464319
14,,,2,,,2,,,False,False,False,0.32478442930464319
15,,,2,,,2,,,False,False,False,0.32478442930464319
16,,,2,,,2,,,False,False,False,0.32478442930464319
17,,,2,,,2,,,False,False,False,0.32478442930464319
18,,,2,,,2,,,False,False,False,0.32478442930464319
19,,,2,,,2,,,False,False,False,0.32478442930464319
20,,,3,,,3,,,False,False,False,0.32478442930464319
21,,,3,,,3,,,False,False,False,0.32478442930464319
22,,,3,,,3,,,False,False,False,0.32478442930464319
23,,,3,,,3,,,False,False,False,0.32478442930464319
24,,,3,,,3,,,False,False,False,0.32478442930464319
25,,,3,,,3,,,False,False,False,0.32478442930464319
26,,,3,,,3,,,False,False,False,0.32478442930464319
27,,,3,,,3,,,False,False,False,0.32478442930464319
28,,,3,,,3,,,False,False,False,0.32478442930464319
29,,,3,,,3,,,False,False,False,0.32478442930464319
30,,,4,,,4,,,False,False,False,0.32478442930464319
31,,,4,,,4,,,False,False,False,0.32478442930464319
32,,,4,,,4,,,False,False,False,0.32478442930464319
33,,,4,,,4,,,False,False,False,0.32478442930464319
34,,,4,,,4,,,False,False,False,0.32478442930464319
35,,,4,,,4,,,False,False,False,0.32478442930464319
36,,,4,,,4,,,False,False,False,0.32478442930464319
37,,,4,,,4,,,False,False,False,0.32478442930464319
38,,,4,,,4,,,False,False,False,0.32478442930464319
39,,,4,,,4,,,False,False,False,0.32478442930464319
40,,,5,,,5,,,False,False,False,0.32478442930464319
41,,,5,,,5,,,False,False,False,0.32478442930464319
42,,,5,,,5,,,False,False,False,0.32478442930464319
43,,,5,,,5,,,False,False,False,0.32478442930464319
44,,,5,,,5,,,False,False,False,0.32478442930464319
45,,,5,,,5,,,False,False,False,0.32478442930464319
46,,,5,,,5,,,False,False,False,0.32478442930464319
47,,,5,,,5,,,False,False,False,0.32478442930464319
48,,,5,,,5,,,False,False,False,0.32478442930464319
49,,,5,,,5,,,False,False,False,0.32478442930464319
50,0.6649568858609286,-0.20000000000000001,6,0.38120719589399843,5.5999999999999996,6,0.28374968996693017,-5.7999999999999998,True,True,True,0.32478442930464319
51,1.6153880272516425,1.8,6,0.63590539692049863,4.2000000000000002,6,0.97948263033114391,-2.4000000000000004,True,True,True,0.32478442930464319
52,0.14530179897349954,1.3999999999999999,6,-1.295732940364213,-3.3999999999999999,6,1.4410347393377125,4.7999999999999998,True,True,True,0.32478442930464319
53,-0.55556048380792755,-2.6000000000000001,6,0.28034491311257093,1.6000000000000001,6,-0.83590539692049848,-4.2000000000000002,True,True,True,0.32478442930464319
54,0.3093964020530009,-2.7999999999999998,6,-0.55043114139071359,-2,6,0.85982754344371448,-0.79999999999999982,True,True,True,0.32478442930464319
55,0.95556048380792769,2.6000000000000001,6,0.0051293424172141056,0.59999999999999998,6,0.95043114139071361,2,True,True,True,0.32478442930464319
56,-0.20512934241721412,-0.59999999999999998,6,-0.49060359794699904,-2.7999999999999998,6,0.28547425552978489,2.1999999999999997,True,True,True,0.32478442930464319
57,-1.0752155706953568,-1,6,-0.21025868483442817,-1.2,6,-0.86495688586092867,0.19999999999999996,True,True,True,0.32478442930464319
58,-0.27008622827814277,-0.40000000000000002,6,-0.6649568858609286,0.20000000000000001,6,0.39487065758278583,-0.60000000000000009,True,True,True,0.32478442930464319
59,0.24443951619207238,-2.6000000000000001,6,0.080344913112570859,1.6000000000000001,6,0.16409460307950152,-4.2000000000000002,True,True,True,0.32478442930464319
60,0.14017245655628546,0.80000000000000004,7,-0.4051293424172141,-0.59999999999999998,7,0.54530179897349962,1.3999999999999999,True,True,True,0.32478442930464319
61,-0.54530179897349962,-1.3999999999999999,7,-1.2906035979469994,-2.7999999999999998,7,0.7453017989734998,1.3999999999999999,True,True,True,0.32478442930464319
62,1.3999999999999999,0,7,-0.45982754344371457,0.80000000000000004,7,1.8598275434437146,-0.80000000000000004,True,True,True,0.32478442930464319
63,-0.15043114139071367,-2,7,0.049568858609286393,-2,7,-0.20000000000000007,0,True,True,True,0.32478442930464319
64,0.2153880272516423,1.8,7,0.21025868483442817,1.2,7,0.0051293424172141333,0.60000000000000009,True,True,True,0.32478442930464319
65,-0.20000000000000001,0,7,-0.61025868483442824,-1.2,7,0.41025868483442823,1.2,True,True,True,0.32478442930464319
66,0.58461197274835774,-1.8,7,0.10939640205300083,-2.7999999999999998,7,0.47521557069535691,0.99999999999999978,True,True,True,0.32478442930464319
67,-0.023922146523215781,5,7,0.84103473933771267,4.7999999999999998,7,-0.86495688586092845,0.20000000000000018,True,True,True,0.32478442930464319
68,-0.68034491311257084,-1.6000000000000001,7,0.14530179897349954,1.3999999999999999,7,-0.82564671208607043,-3,True,True,True,0.32478442930464319
69,0.34017245655628542,0.80000000000000004,7,0.32991377172185732,-0.40000000000000002,7,0.0102586848344281,1.2000000000000002,True,True,True,0.32478442930464319
70,-0.06495688586092864,0.20000000000000001,8,0.13504311413907139,0.20000000000000001,8,-0.20000000000000001,0,True,True,True,0.32478442930464319
71,0.52991377172185727,-0.40000000000000002,8,1.0752155706953568,1,8,-0.54530179897349951,-1.3999999999999999,True,True,True,0.32478442930464319
72,0.25469820102650043,-1.3999999999999999,8,0.020517369668856422,2.3999999999999999,8,0.234180831357644,-3.7999999999999998,True,True,True,0.32478442930464319
73,0.1658191686423558,3.7999999999999998,8,-0.6649568858609286,0.20000000000000001,8,0.8307760545032844,3.5999999999999996,True,True,True,0.32478442930464319
74,-0.42051736966885633,-2.3999999999999999,8,-0.12991377172185728,0.40000000000000002,8,-0.29060359794699908,-2.7999999999999998,True,True,True,0.32478442930464319
75,-0.47008622827814273,-0.40000000000000002,8,-0.4051293424172141,-0.59999999999999998,8,-0.064956885860928626,0.19999999999999996,True,True,True,0.32478442930464319
76,0.31452574447021509,-2.2000000000000002,8,-0.099137717218572785,4,8,0.41366346168878787,-6.2000000000000002,True,True,True,0.32478442930464319
77,0.72991377172185723,-0.40000000000000002,8,-0.0051293424172141056,-0.59999999999999998,8,0.73504311413907131,0.19999999999999996,True,True,True,0.32478442930464319
78,-0.41025868483442823,-1.2,8,-1.0051293424172141,-0.59999999999999998,8,0.59487065758278579,-0.59999999999999998,True,True,True,0.32478442930464319
79,-0.13504311413907139,-0.20000000000000001,8,0.58461197274835774,-1.8,8,-0.71965508688742919,1.6000000000000001,True,True,True,0.32478442930464319
80,0.2153880272516423,1.8,9,-0.13504311413907139,-0.20000000000000001,9,0.35043114139071369,2,True,True,True,0.32478442930464319
81,0.14017245655628546,0.80000000000000004,9,-0.044439516192072315,2.6000000000000001,9,0.18461197274835778,-1.8,True,True,True,0.32478442930464319
82,1.4051293424172142,0.59999999999999998,9,-0.15556048380792764,-2.6000000000000001,9,1.5606898262251419,3.2000000000000002,True,True,True,0.32478442930464319
83,0.45469820102650044,-1.3999999999999999,9,-0.48034491311257088,-1.6000000000000001,9,0.93504311413907137,0.20000000000000018,True,True,True,0.32478442930464319
84,0.38974131516557181,-1.2,9,-0.48547425552978485,-2.2000000000000002,9,0.8752155706953566,1.0000000000000002,True,True,True,0.32478442930464319
85,-0.34530179897349961,-1.3999999999999999,9,0.79487065758278586,-0.59999999999999998,9,-1.1401724565562854,-0.79999999999999993,True,True,True,0.32478442930464319
86,-0.52991377172185727,0.40000000000000002,9,-0.7401724565562855,-0.80000000000000004,9,0.21025868483442822,1.2000000000000002,True,True,True,0.32478442930464319
87,-0.25469820102650043,1.3999999999999999,9,0.06495688586092864,-0.20000000000000001,9,-0.31965508688742905,1.5999999999999999,True,True,True,0.32478442930464319
88,-0.44956885860928636,2,9,0.77094851105956996,4.4000000000000004,9,-1.2205173696688563,-2.4000000000000004,True,True,True,0.32478442930464319
89,0.19487065758278591,-0.59999999999999998,9,-0.8102586848344282,-1.2,9,1.0051293424172141,0.59999999999999998,True,True,True,0.32478442930464319
90,-0.4051293424172141,-0.59999999999999998,10,-0.25469820102650043,1.3999999999999999,10,-0.15043114139071367,-2,True,True,True,0.32478442930464319
91,-0.054698201026500415,1.3999999999999999,10,0.48034491311257088,1.6000000000000001,10,-0.53504311413907124,-0.20000000000000018,True,True,True,0.32478442930464319
92,1.2359053969204987,4.2000000000000002,10,-0.010258684834428211,-1.2,10,1.2461640817549269,5.4000000000000004,True,True,True,0.32478442930464319
93,0.22564671208607034,3,10,-0.015388027251642233,-1.8,10,0.24103473933771258,4.7999999999999998,True,True,True,0.32478442930464319
94,-0.075215570695356837,-1,10,1.295732940364213,3.3999999999999999,10,-1.3709485110595698,-4.4000000000000004,True,True,True,0.32478442930464319
95,-0.60512934241721417,-0.59999999999999998,10,-1.5299137717218572,0.40000000000000002,10,0.924784429304643,-1,True,True,True,0.32478442930464319
96,0.059827543443714548,-0.80000000000000004,10,-0.46495688586092865,0.20000000000000001,10,0.5247844293046432,-1,True,True,True,0.32478442930464319
97,0.51965508688742912,-1.6000000000000001,10,0.39487065758278594,-0.59999999999999998,10,0.12478442930464317,-1,True,True,True,0.32478442930464319
98,-0.96581916864235606,-3.7999999999999998,10,-0.070086228278142731,-0.40000000000000002,10,-0.89573294036421336,-3.3999999999999999,True,True,True,0.32478442930464319
99,0.58974131516557182,-1.2,10,-0.35043114139071363,-2,10,0.94017245655628545,0.80000000000000004,True,True,True,0.32478442930464319
100,-0.0051293424172141056,-0.59999999999999998,11,-0.16068982622514172,-3.2000000000000002,11,0.15556048380792761,2.6000000000000001,True,True,True,0.32478442930464319
101,-0.79487065758278586,0.59999999999999998,11,-0.76581916864235589,-3.7999999999999998,11,-0.02905148894042997,4.3999999999999995,True,True,True,0.32478442930464319
102,-0.27521557069535679,-1,11,-0.48034491311257088,-1.6000000000000001,11,0.20512934241721409,0.60000000000000009,True,True,True,0.32478442930464319
103,1.4906035979469991,2.7999999999999998,11,0.12991377172185728,-0.40000000000000002,11,1.3606898262251419,3.1999999999999997,True,True,True,0.32478442930464319
104,0.46495688586092865,-0.20000000000000001,11,1.0598275434437145,-0.80000000000000004,11,-0.5948706575827859,0.60000000000000009,True,True,True,0.32478442930464319
105,-1,0,11,-0.23931017377485819,3.2000000000000002,11,-0.76068982622514181,-3.2000000000000002,True,True,True,0.32478442930464319
106,0.87521557069535683,1,11,-0.54017245655628554,-0.80000000000000004,11,1.4153880272516424,1.8,True,True,True,0.32478442930464319
107,-0.14530179897349954,-1.3999999999999999,11,-0.86495688586092867,0.20000000000000001,11,0.71965508688742919,-1.5999999999999999,True,True,True,0.32478442930464319
108,0.06495688586092864,-0.20000000000000001,11,-0.57948263033114356,2.3999999999999999,11,0.64443951619207218,-2.6000000000000001,True,True,True,0.32478442930464319
109,0.41538802725164226,1.8,11,1.3504311413907137,2,11,-0.93504311413907149,-0.19999999999999996,True,True,True,0.32478442930464319
110,-0.62564671208607048,-3,12,-0.47008622827814273,-0.40000000000000002,12,-0.15556048380792775,-2.6000000000000001,True,True,True,0.32478442930464319
111,0.12991377172185728,-0.40000000000000002,12,0.54017245655628554,0.80000000000000004,12,-0.41025868483442829,-1.2000000000000002,True,True,True,0.32478442930464319
